row_index,ground_truth_path,matched,difficulty,template_empty,resource_req,resource_gen,resource_cor,resource_missing,resource_extra,resource_cov_pct,resource_acc_pct,resource_missing_list,resource_extra_list,data_req,data_gen,data_cor,data_missing,data_extra,data_cov_pct,data_acc_pct,data_missing_list,data_extra_list,variable_req,variable_gen,variable_cor,variable_missing,variable_extra,variable_cov_pct,variable_acc_pct,variable_missing_list,variable_extra_list,output_req,output_gen,output_cor,output_missing,output_extra,output_cov_pct,output_acc_pct,output_missing_list,output_extra_list
0,iac_benchmark/scenarios/terrads_2b3dc3e26799,True,3.0,False,5,4,4,1,0,80.0,100.0,aws_kms_ciphertext,,0,4,0,0,4,0.0,0.0,,aws_iam_policy_document;aws_iam_policy_document;aws_kms_ciphertext;aws_caller_identity,37,24,1,36,23,2.7,4.17,kms_alias_target_key_id;kms_key_policy;kms_external_key_deletion_window_in_days;kms_ciphertext_context;tags;kms_alias_name;kms_key_key_usage;enable_kms_grant;kms_ciphertext_key_id;enable_kms_external_key;enable_kms_key;kms_key_deletion_window_in_days;name;kms_grant_retiring_principal;kms_external_key_enabled;kms_external_key_description;kms_external_key_policy;kms_grant_retire_on_delete;kms_grant_name;kms_key_description;kms_external_key_name;kms_key_name;kms_grant_grant_creation_tokens;kms_external_key_key_material_base64;kms_external_key_valid_to;kms_grant_grantee_principal;kms_grant_key_id;kms_grant_constraints;kms_key_is_enabled;kms_grant_operations;kms_key_enable_key_rotation;kms_alias_name_prefix;kms_key_customer_master_key_spec;enable_kms_ciphertext;enable_kms_alias;kms_ciphertext_plaintext,encryption_context_equals;grantee_principal;key_policy;description;key_spec;create_grant;operations;deletion_window_in_days;create_alias;create_external_key;plaintext;enable_encryption;create_key;external_key_policy;context;key_material_base64;enable_key_rotation;encryption_context_subset;alias_name;retiring_principal;name_prefix;key_usage;valid_to,15,7,0,15,7,0.0,0.0,kms_external_key_expiration_model;kms_alias_id;kms_grant_grant_id;kms_key_arn;kms_ciphertext_ciphertext_blob;kms_grant_id;kms_external_key_id;kms_alias_target_key_arn;kms_external_key_arn;kms_alias_arn;kms_external_key_state;kms_grant_token;kms_key_id;kms_ciphertext_id;kms_external_key_usage,key_id;grant_id;external_key_arn;encrypted_data;key_arn;alias_arn;external_key_id
1,iac_benchmark/scenarios/terrads_037b2fe08aa0,True,3.0,False,5,11,5,0,6,100.0,45.45,,aws_acm_certificate_validation;aws_route53_zone;aws_iam_role;aws_iam_role_policy;aws_acm_certificate;aws_route53_record,0,1,0,0,1,0.0,0.0,,aws_iam_policy_document,43,17,8,35,9,18.6,47.06,invite_message_template;logout_urls;sms_authentication_message;case_sensitive;cert_arn;access_token_validity;challenge_required_on_new_device;allowed_oauth_scopes;explicit_auth_flows;user_group;id_token_validity;write_attributes;name;enable_token_revocation;prevent_user_existence_errors;recovery_mechanism;supported_identity_providers;allowed_oauth_flows_user_pool_client;role_arn;create_route53_record;domain;clients;generate_secret;token_validity_units;read_attributes;allowed_oauth_flows;sms_verification_message;email_verification_subject;allow_admin_create_user_only;refresh_token_validity;precedence;zone_id;callback_urls;email_verification_message;device_only_remembered_on_user_prompt,custom_domain_name;email_configuration;user_pool_clients;username_configuration;account_recovery_setting;device_configuration;admin_create_user_config;user_pool_name;user_group_config,2,0,0,2,0,0.0,0.0,arn;clients_id,
2,iac_benchmark/scenarios/terrads_c97056850842,True,4.0,False,15,15,15,0,0,100.0,100.0,,,0,1,0,0,1,0.0,0.0,,aws_availability_zones,10,2,2,8,0,20.0,100.0,tags;tgw_rt-propagation_id;region;tag-env;tgw_id;vpc_cidr;admin_port;tgw_rt-association_id,,6,15,1,5,14,16.67,6.67,nsg_ids;fgt_ni_ips;subnet_az1_ids;subnet_az1_cidrs;fgt_ni_ids,allow_all_sg_id;public_eni_ip;private_eni_id;private_subnet_cidr;public_eni_id;public_subnet_cidr;private_sg_id;bastion_subnet_cidr;public_sg_id;public_subnet_id;private_subnet_id;bastion_subnet_id;private_eni_ip;bastion_sg_id
3,iac_benchmark/scenarios/gh_b7d56bc5,True,4.0,False,18,4,2,16,2,11.11,50.0,aws_iam_access_key;aws_iam_access_key;aws_iam_user;aws_iam_user;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy,aws_iam_policy;aws_iam_user_policy_attachment,0,0,0,0,0,100.0,100.0,,,0,0,0,0,0,100.0,100.0,,,0,0,0,0,0,100.0,100.0,,
4,iac_benchmark/scenarios/gh_75c55509,True,4.0,False,8,10,8,0,2,100.0,80.0,,aws_kms_key;aws_cloudwatch_log_group,0,0,0,0,0,100.0,100.0,,,62,19,2,60,17,3.23,10.53,route53_record_ttl;route53_key_signing_key_name;route53_health_check_cloudwatch_alarm_region;route53_record_alias;enable_route53_zone;route53_query_log_zone_id;route53_record_parent_zone_id;route53_health_check_disabled;route53_record_name;route53_vpc_association_authorization_zone_id;enable_route53_key_signing_key;route53_health_check_reference_name;route53_health_check_search_string;route53_zone_name;route53_health_check_child_healthchecks;route53_record_allow_overwrite;route53_zone_comment;route53_zone_association_vpc_id;route53_record_latency_routing_policy;route53_health_check_resource_path;route53_health_check_child_health_threshold;route53_zone_vpc;route53_health_check_name;route53_health_check_ip_address;route53_health_check_request_interval;route53_record_type;environment;route53_health_check_failure_threshold;enable_route53_query_log;route53_record_geolocation_routing_policy;enable_route53_delegation_set;enable_route53_record;route53_health_check_measure_latency;enable_route53_health_check;route53_key_signing_key_key_management_service_arn;route53_health_check_port;route53_record_records;route53_delegation_set_reference_name;route53_zone_association_vpc_region;enable_route53_zone_association;route53_health_check_type;route53_record_multivalue_answer_routing_policy;route53_health_check_insufficient_data_health_status;route53_health_check_cloudwatch_alarm_name;route53_health_check_invert_healthcheck;route53_record_health_check_id;route53_zone_association_zone_id;route53_health_check_fqdn;route53_key_signing_key_status;route53_zone_delegation_set_id;route53_health_check_regions;route53_query_log_cloudwatch_log_group_arn;route53_record_weighted_routing_policy;route53_record_set_identifier;route53_record_failover_routing_policy;route53_zone_force_destroy;route53_key_signing_key_hosted_zone_id;route53_health_check_enable_sni;route53_vpc_association_authorization_vpc_id;enable_route53_vpc_association_authorization,zone_associations;enable_vpc_association_authorization;records;comment;enable_zone_association;force_destroy;delegation_set_reference_name;private_zone;enable_dnssec;vpc_association_authorization;kms_key_arn;log_group_name;vpc_id;health_checks;enable_query_logging;vpc_region;enable_delegation_set,25,0,0,25,0,0.0,0.0,route53_key_signing_key_signing_algorithm_type;route53_key_signing_key_public_key;route53_record_fqdn;aws_route53_zone_zone_id;route53_key_signing_key_ds_record;route53_zone_association_vpc_id;route53_key_signing_key_digest_value;route53_record_name;route53_key_signing_key_key_tag;route53_zone_association_zone_id;aws_route53_zone_name_servers;route53_key_signing_key_digest_algorithm_mnemonic;route53_zone_association_vpc_region;route53_vpc_association_authorization_id;route53_query_log_id;route53_delegation_set_id;route53_key_signing_key_id;route53_key_signing_key_dnskey_record;route53_key_signing_key_flag;route53_key_signing_key_signing_algorithm_mnemonic;route53_zone_association_id;route53_key_signing_key_digest_algorithm_type;route53_health_check_id;aws_route53_zone_id;route53_delegation_set_name_servers,
5,iac_benchmark/scenarios/terrads_ba0c51a35dac,True,3.0,False,11,11,8,3,3,72.73,72.73,aws_security_group_rule;aws_security_group_rule;aws_route,aws_route_table_association;aws_subnet;aws_subnet,0,1,0,0,1,0.0,0.0,,aws_availability_zones,6,0,0,6,0,0.0,0.0,ntier_region;web_subnet_indexes;other_subnet_indexes;ntier_subnet_tags;ntier_cidr;ntier_subnet_azs,,1,1,0,1,1,0.0,0.0,vpcid,vpc_id
6,iac_benchmark/scenarios/terrads_b399f0e51686,True,5.0,False,13,13,11,2,2,84.62,84.62,aws_kms_key_policy;random_string,aws_s3_bucket_server_side_encryption_configuration;aws_s3_bucket_public_access_block,3,6,1,2,5,33.33,16.67,aws_region;aws_partition,aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document,18,15,4,14,11,22.22,26.67,rw_type;include_management_events;include_global_service_events;insight_selector;cloudtrail_name;log_retention_days;existing_sns_topic_arn;enable_logging;is_multi_region_trail;create_sns_topic;enable_s3_bucket_versioning;decrypt_role_arn;data_resource_type;bucket_force_destroy,trail_name;force_destroy;kms_alias_name;insight_selectors;log_group_name;enable_versioning;retention_days;read_write_type;name_prefix;enable_sns;role_name,8,0,0,8,0,0.0,0.0,s3_bucket_arn;cloudtrail_arn;sns_topic_arn;kms_key_arn;cloudtrail_id;kms_key_id;cloudwatch_log_group_arn;s3_bucket_id,
7,iac_benchmark/scenarios/terrads_01d04d611b22,True,5.0,False,14,14,8,6,6,57.14,57.14,aws_vpc_security_group_egress_rule;aws_vpc_security_group_egress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule,aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule,0,1,0,0,1,0.0,0.0,,aws_availability_zones,11,1,0,11,1,0.0,0.0,enable_dns_hostnames;is_ipv6_enabled;sn_details;aws_profile;enable_dns_support;ipv6_subnets_new_bits;aws_region;vpc_ip4_cidr_block;environment;ipv4_subnets_new_bits;instance_tenancy,tags,9,0,0,9,0,0.0,0.0,web_sg_id;subnets_ids;db_sg_id;vpc_ip4_cidr_block;vpc_ipv6_cidr_block;vpc_id;vpc_default_network_acl_id;app_sg_id;vpc_arn,
8,iac_benchmark/scenarios/terrads_01334dedc4eb,True,5.0,False,19,19,19,0,0,100.0,100.0,,,0,1,0,0,1,0.0,0.0,,aws_availability_zones,10,3,3,7,0,30.0,100.0,tags;tgw_rt-propagation_id;region;tag-env;vpc-sec_cidr;tgw_id;tgw_rt-association_id,,6,8,0,6,8,0.0,0.0,nsg_ids;vpc-sec_id;fgt_ni_ips;subnet_az1_cidrs;subnet_az1_ids;fgt_ni_ids,subnet_cidrs;private_interface_id;private_interface_ip;subnet_ids;vpc_id;public_interface_id;security_group_ids;public_interface_ip
9,iac_benchmark/scenarios/gh_8159ec72,True,5.0,False,14,31,13,1,18,92.86,41.94,aws_ses_active_receipt_rule_set,aws_iam_role;aws_iam_role;aws_s3_bucket_server_side_encryption_configuration;aws_kinesis_firehose_delivery_stream;aws_cloudwatch_log_group;aws_sns_topic;aws_sns_topic;aws_sns_topic;aws_iam_role_policy;aws_s3_bucket_public_access_block;aws_s3_bucket_public_access_block;aws_s3_bucket;aws_s3_bucket;aws_s3_bucket_versioning;aws_lambda_function;null_resource;aws_ses_event_destination;aws_ses_event_destination,0,0,0,0,0,100.0,100.0,,,62,26,2,60,24,3.23,7.69,enable_ses_receipt_filter;ses_receipt_rule_add_header_action;ses_configuration_set_sending_enabled;ses_identity_notification_topic_notification_type;ses_receipt_rule_bounce_action;enable_ses_domain_identity_verification;enable_ses_identity_policy;ses_receipt_rule_set_rule_set_name;ses_receipt_rule_workmail_action;ses_identity_notification_topic_include_original_headers;ses_identity_policy_identity;enable_ses_domain_dkim;ses_active_receipt_rule_set_rule_set_name;ses_identity_notification_topic_identity;ses_configuration_set_delivery_options;enable_ses_receipt_rule_set;enable_ses_identity_notification_topic;enable_ses_template;ses_receipt_rule_tls_policy;ses_receipt_rule_sns_action;ses_domain_mail_from_domain;ses_receipt_rule_enabled;enable_ses_configuration_set;enable_ses_email_identity;enable_ses_domain_mail_from;ses_receipt_rule_stop_action;enable_ses_event_destination;ses_receipt_rule_s3_action;ses_event_destination_sns_destination;ses_event_destination_cloudwatch_destination;ses_receipt_rule_recipients;ses_receipt_rule_after;ses_email_identity_emails;ses_domain_identity_domains;enable_ses_domain_identity;ses_template_subject;ses_domain_mail_from_behavior_on_mx_failure;ses_identity_policy_name;ses_template_html;ses_receipt_filter_stack;ses_identity_notification_topic_topic_arn;ses_receipt_rule_name;enable_ses_receipt_rule;ses_receipt_rule_rule_set_name;ses_event_destination_name;ses_event_destination_configuration_set_name;ses_configuration_set_reputation_metrics_enabled;ses_domain_identity_verification_domain;ses_configuration_set_name;ses_domain_mail_from_mail_from_domain;ses_template_text;ses_template_name;ses_receipt_rule_lambda_action;ses_event_destination_kinesis_destination;ses_domain_dkim_domain;ses_event_destination_enabled;ses_identity_policy_policy;enable_ses_active_receipt_rule_set;ses_event_destination_matching_types;ses_receipt_rule_scan_enabled,enable_lambda_action;enable_domain_identity;enable_receipt_filter;enable_notification_topic;enable_email_identity;enable_workmail_action;enable_event_destination_kinesis;enable_domain_verification;enable_bounce_action;enable_dkim;enable_event_destination_sns;enable_template;enable_receipt_rule;enable_s3_action;enable_mail_from;enable_sns_action;enable_configuration_set;enable_identity_policy;enable_receipt_rule_set;email;domain;enable_stop_action;enable_event_destination_cloudwatch;enable_add_header_action,27,40,0,27,40,0.0,0.0,ses_receipt_filter_id;ses_configuration_set_last_fresh_start;ses_receipt_rule_id;ses_receipt_rule_set_arn;ses_configuration_set_arn;ses_domain_dkim_dkim_tokens;ses_identity_policy_id;ses_active_receipt_rule_set_id;ses_email_identity_id;ses_event_destination_id;ses_domain_identity_id;ses_receipt_rule_arn;ses_domain_mail_from_id;ses_active_receipt_rule_set_arn;ses_email_identity_arn;ses_template_arn;ses_configuration_set_id;ses_event_destination_arn;ses_template_id;ses_domain_identity_verification_id;ses_domain_identity_arn;ses_domain_identity_verification_token;ses_domain_identity_verification_arn;ses_receipt_filter_arn;ses_receipt_rule_set_id;ses_domain_dkim_id;ses_identity_notification_topic_id,mail_from_domain;template_id;domain_dkim_tokens;domain_verification_verification_token;template_arn;mail_from_id;identity_policy_id;identity_policy_name;configuration_set_name;domain_identity_verification_token;event_destination_sns_arn;email_identity_id;event_destination_kinesis_arn;receipt_rule_id;event_destination_kinesis_name;notification_topic_bounce_arn;event_destination_cloudwatch_arn;event_destination_cloudwatch_id;notification_topic_delivery_arn;event_destination_sns_id;event_destination_cloudwatch_name;domain_dkim_id;configuration_set_id;template_name;domain_identity_arn;receipt_rule_set_name;configuration_set_arn;domain_verification_id;receipt_filter_arn;receipt_filter_id;receipt_rule_arn;event_destination_kinesis_id;receipt_filter_name;receipt_rule_name;notification_topic_complaint_arn;receipt_rule_set_arn;email_identity_arn;domain_identity_id;receipt_rule_set_id;event_destination_sns_name
