check_id,check_name,severity,short_code,description,service,framework,source_file_url,source_code
AVD-AWS-0002,API Gateway must have cache enabled,MEDIUM,,"Method cache encryption ensures that any sensitive data in the cache is not vulnerable to compromise in the event of interception
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_cache_encryption.rego,"package builtin.aws.apigateway.aws0002

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some api in input.aws.apigateway.v1.apis
	isManaged(api)
	some stage in api.stages
	isManaged(stage)
	some settings in stage.restmethodsettings
	isManaged(settings)
	settings.cacheenabled.value
	cache_is_not_encrypted(settings)

	res := result.new(
		""Cache data is not encrypted."",
		metadata.obj_by_path(settings, [""cachedataencrypted""]),
	)
}

cache_is_not_encrypted(settings) if value.is_false(settings.cachedataencrypted)

cache_is_not_encrypted(settings) if not settings.cachedataencrypted"
AVD-AWS-0175,Enable IAM Access analyzer for IAM policies about all resources in each region.,LOW,,"AWS IAM Access Analyzer helps you identify the resources in your organization and
accounts, such as Amazon S3 buckets or IAM roles, that are shared with an external entity.
This lets you identify unintended access to your resources and data. Access Analyzer
identifies resources that are shared with external principals by using logic-based reasoning
to analyze the resource-based policies in your AWS environment. IAM Access Analyzer
continuously monitors all policies for S3 bucket, IAM roles, KMS(Key Management Service)
keys, AWS Lambda functions, and Amazon SQS(Simple Queue Service) queues.
",accessanalyzer,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/accessanalyzer/enable_access_analyzer.rego,"package builtin.aws.accessanalyzer.aws0175

import rego.v1

deny contains res if {
	not has_active_analyzer
	res := result.new(""Access Analyzer is not enabled."", {})
}

has_active_analyzer if {
	some analyzer in input.aws.accessanalyzer.analyzers
	analyzer.active.value
}"
,,,,,apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_cache.yaml,"terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/api_gateway_method_settings#cache_enabled
  good:
    - |-
      resource ""aws_api_gateway_rest_api"" ""example"" {}

      resource ""aws_api_gateway_stage"" ""example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
      }

      resource ""aws_api_gateway_method_settings"" ""good_example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
        stage_name  = aws_api_gateway_stage.example.stage_name
        method_path = ""path1/GET""

        settings {
          caching_enabled = true
        }
      }
  bad:
    - |-
      resource ""aws_api_gateway_rest_api"" ""example"" {}

      resource ""aws_api_gateway_stage"" ""example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
      }

      resource ""aws_api_gateway_method_settings"" ""bad_example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
        stage_name  = aws_api_gateway_stage.example.stage_name
        method_path = ""path1/GET""

        settings {
          caching_enabled = false
        }
      }
"
,,,,,apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_cache_encryption.yaml,"terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/api_gateway_method_settings#cache_data_encrypted
  good:
    - |-
      resource ""aws_api_gateway_rest_api"" ""example"" {}

      resource ""aws_api_gateway_stage"" ""example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
      }

      resource ""aws_api_gateway_method_settings"" ""good_example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
        stage_name  = aws_api_gateway_stage.example.stage_name
        method_path = ""path1/GET""

        settings {
          caching_enabled      = true
          cache_data_encrypted = true
        }
      }
    - |-
      resource ""aws_api_gateway_rest_api"" ""example"" {}

      resource ""aws_api_gateway_stage"" ""example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
      }

      resource ""aws_api_gateway_method_settings"" ""bad_example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
        stage_name  = aws_api_gateway_stage.example.stage_name
        method_path = ""path1/GET""

        settings {
          caching_enabled      = false
          cache_data_encrypted = false
        }
      }
  bad:
    - |-
      resource ""aws_api_gateway_rest_api"" ""example"" {}

      resource ""aws_api_gateway_stage"" ""example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
      }

      resource ""aws_api_gateway_method_settings"" ""bad_example"" {
        rest_api_id = aws_api_gateway_rest_api.example.id
        stage_name  = aws_api_gateway_stage.example.stage_name
        method_path = ""path1/GET""

        settings {
          caching_enabled      = true
          cache_data_encrypted = false
        }
      }
"
AVD-AWS-0004,No unauthorized access to API Gateway methods,LOW,,"API Gateway methods should generally be protected by authorization or api key. OPTION verb calls can be used without authorization
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/no_public_access.rego,"package builtin.aws.apigateway.aws0004

import rego.v1

import data.lib.cloud.value

authorization_none := ""NONE""

deny contains res if {
	some api in input.aws.apigateway.v1.apis
	isManaged(api)
	some method in api.resources[_].methods
	method_is_not_option(method)
	apikey_is_not_required(method)
	method.authorizationtype.value == authorization_none
	res := result.new(""Authorization is not enabled for this method."", method.authorizationtype)
}

method_is_not_option(method) if value.is_not_equal(method.httpmethod, ""OPTION"")

method_is_not_option(method) if not method.httpmethod

apikey_is_not_required(api) if value.is_false(api.apikeyrequired)

apikey_is_not_required(api) if not api.apikeyrequired"
AVD-AWS-0003,API Gateway must have X-Ray tracing enabled,LOW,,"X-Ray tracing enables end-to-end debugging and analysis of all API Gateway HTTP requests.
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_tracing.rego,"package builtin.aws.apigateway.aws0003

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some api in input.aws.apigateway.v1.apis
	isManaged(api)
	some stage in api.stages
	isManaged(stage)
	tracing_is_not_enabled(stage)
	res := result.new(
		""X-Ray tracing is not enabled."",
		metadata.obj_by_path(stage, [""xraytracingenabled""]),
	)
}

tracing_is_not_enabled(stage) if value.is_false(stage.xraytracingenabled)

tracing_is_not_enabled(stage) if not stage.xraytracingenabled"
AVD-AWS-0001,API Gateway stages for V1 and V2 should have access logging enabled,MEDIUM,,"API Gateway stages should have access log settings block configured to track all access to a particular stage. This should be applied to both v1 and v2 gateway stages.
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_access_logging.rego,"package builtin.aws.apigateway.aws0001

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some stage in input.aws.apigateway.v1.apis[_].stages
	logging_is_not_configured(stage)
	res := result.new(
		""Access logging is not configured."",
		metadata.obj_by_path(stage, [""accesslogging"", ""cloudwatchloggrouparn""]),
	)
}

deny contains res if {
	some stage in input.aws.apigateway.v2.apis[_].stages
	logging_is_not_configured(stage)
	res := result.new(
		""Access logging is not configured."",
		metadata.obj_by_path(stage, [""accesslogging"", ""cloudwatchloggrouparn""]),
	)
}

logging_is_not_configured(stage) if {
	isManaged(stage)
	value.is_empty(stage.accesslogging.cloudwatchloggrouparn)
}

logging_is_not_configured(stage) if not stage.accesslogging.cloudwatchloggrouparn"
AVD-AWS-0005,API Gateway domain name uses outdated SSL/TLS protocols.,HIGH,,"You should not use outdated/insecure TLS versions for encryption. You should be using TLS v1.2+.
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/use_secure_tls_policy.rego,"package builtin.aws.apigateway.aws0005

import rego.v1

import data.lib.cloud.metadata

policies := [""TLS_1_2"", ""SecurityPolicy_TLS12_*_EDGE"", ""SecurityPolicy_TLS13_*""]

deny contains res if {
	some domain in input.aws.apigateway.v1.domainnames
	not is_SecurityPolicy_TLS12(domain)
	res := result.new(
		""Domain name is configured with an outdated TLS policy."",
		metadata.obj_by_path(domain, ""securitypolicy""),
	)
}

deny contains res if {
	some domain in input.aws.apigateway.v2.domainnames
	not is_SecurityPolicy_TLS12(domain)
	res := result.new(
		""Domain name is configured with an outdated TLS policy."",
		metadata.obj_by_path(domain, ""securitypolicy""),
	)
}

is_SecurityPolicy_TLS12(domain) if {
	some p in policies
	glob.match(p, [], domain.securitypolicy.value)
}"
,,,,,apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/use_secure_tls_policy.yaml,"terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/api_gateway_domain_name#security_policy-1
    - https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-security-policies-list.html
  good:
    - |-
      resource ""aws_api_gateway_domain_name"" ""good_example"" {
        security_policy      = ""SecurityPolicy_TLS13_1_2_PFS_PQ_2025_09""
        endpoint_access_mode = ""STRICT""
        endpoint_configuration {
          types = [""REGIONAL""]
        }
      }
    - |-
      resource ""aws_api_gateway_domain_name"" ""good_example"" {
        security_policy      = ""SecurityPolicy_TLS12_PFS_2025_EDGE""
        endpoint_access_mode = ""STRICT""
        endpoint_configuration {
          types = [""EDGE""]
        }
      }
  bad:
    - |-
      resource ""aws_api_gateway_domain_name"" ""bad_example"" {
        security_policy = ""TLS_1_0""
      }
"
AVD-AWS-0006,"Athena databases and workgroup configurations are created unencrypted at rest by default, they should be encrypted",HIGH,,"Data can be read if the Athena Database is compromised. Athena databases and workspace result sets should be encrypted at rests. These databases and query sets are generally derived from data in S3 buckets and should have the same level of at rest protection.
",athena,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/athena/enable_at_rest_encryption.rego,"package builtin.aws.athena.aws0006

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

encryption_type_none := """"

deny contains res if {
	some workgroup in input.aws.athena.workgroups
	not_encrypted(workgroup)
	res := result.new(
		""Workgroup does not have encryption configured."",
		metadata.obj_by_path(workgroup, [""encryption"", ""type""]),
	)
}

deny contains res if {
	some database in input.aws.athena.databases
	not_encrypted(database)
	res := result.new(
		""Database does not have encryption configured."",
		metadata.obj_by_path(database, [""encryption"", ""type""]),
	)
}

not_encrypted(encryptable) if value.is_equal(encryptable.encryption.type, encryption_type_none)

not_encrypted(encryptable) if not encryptable.encryption.type"
