row_index,row_number,matched,difficulty_level,total_required_resources,total_generated_resources,correct_resources,missing_resources,extra_resources,coverage_pct,accuracy_pct,intent_coverage_pct,intent_correct,intent_needed,template_empty,parse_error,gt_missing,ground_truth_path,correct_resource_types,missing_resource_types,extra_resource_types,generated_resource_types,prompt
0,4,True,3,7,5,5,2,0,71.43,100.0,,0,0,False,False,False,cfn_templates/Tianyi2__IaCGen/Data/groud_truth/template/stepfunction-calculator.yaml,AWS::Lambda::Function;AWS::StepFunctions::StateMachine;AWS::Logs::LogGroup;AWS::IAM::Role;AWS::IAM::Role,AWS::IAM::Policy;AWS::IAM::Policy,,AWS::IAM::Role;AWS::Logs::LogGroup;AWS::Lambda::Function;AWS::IAM::Role;AWS::StepFunctions::StateMachine,"We need a CloudFormation template that creates a Step Functions calculator demo with a state machine named ""Calculator-StateMachine"" and a Lambda function named ""Calculator"" running Node.js 20.x with inline code, where the Lambda accepts input such as {""operator"": ""add"", ""operands"": [1,2]} and performs addition, subtraction, multiplication, or division based on the operator. The state machine should route through a choice state to the appropriate operation, invoke the Lambda for supported operators, and fail on unknown operators. The template must also provision the IAM roles needed for the Lambda to write logs and for the state machine to invoke the Lambda, include a CloudWatch log group for the Lambda with 3-day retention, and expose the sample input format as an output."
1,6,True,4,11,11,11,0,0,100.0,100.0,,0,0,False,False,False,cfn_templates/kubernetes-sigs__cluster-api-provider-aws/cmd/clusterawsadm/cloudformation/bootstrap/fixtures/with_different_instance_profiles.yaml,AWS::IAM::InstanceProfile;AWS::IAM::InstanceProfile;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy,,,AWS::IAM::Role;AWS::IAM::ManagedPolicy;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::ManagedPolicy;AWS::IAM::ManagedPolicy;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::ManagedPolicy;AWS::IAM::InstanceProfile;AWS::IAM::Role,"We need a CloudFormation template that creates the IAM roles, instance profiles, and both AWS-managed and custom managed policies required for the Cluster API Provider AWS to manage Kubernetes clusters, including both EC2-based and EKS-based cluster lifecycle, by provisioning three instance profiles each associated with a corresponding IAM role, where the control plane role allows EC2 to assume it and is attached to a custom managed policy granting broad permissions for EC2, ELB, auto scaling, and KMS operations, the controllers role allows both EC2 and pods.eks.amazonaws.com to assume it and is attached to a custom managed policy with extensive permissions for managing VPCs, subnets, security groups, load balancers, auto scaling groups, launch templates, EKS access entries, and service-linked roles scoped to specific ARNs, plus a separate controllers-eks custom managed policy attached to the controllers and control plane roles that grants permissions for EKS cluster and nodegroup management, SSM parameter retrieval, IAM role and policy inspection, KMS key operations conditioned on a specific alias pattern, and service-linked role creation for EKS, EKS nodegroups, and EKS Fargate, and the nodes role allows EC2 to assume it and is attached to both the AmazonEKSWorkerNodePolicy and AmazonEKS_CNI_Policy AWS-managed policies as well as a custom managed policy granting EC2, ECR, secrets manager (scoped to the aws.cluster.x-k8s.io secret path), SSM, and S3 permissions, and the template must also create a separate EKS control plane role with the AmazonEKSClusterPolicy attached."
2,7,True,3,9,18,9,0,9,100.0,50.0,,0,0,False,False,False,cfn_templates/Sage-Bionetworks__aws-infra/templates/ImageBuilder/cis-for-eb-image-pipeline-template.yaml,AWS::IAM::InstanceProfile;AWS::ImageBuilder::LifecyclePolicy;AWS::ImageBuilder::InfrastructureConfiguration;AWS::ImageBuilder::Component;AWS::ImageBuilder::ImagePipeline;AWS::IAM::Role;AWS::IAM::Role;AWS::ImageBuilder::ImageRecipe;AWS::ImageBuilder::DistributionConfiguration,,AWS::EC2::RouteTable;AWS::EC2::InternetGateway;AWS::EC2::SubnetRouteTableAssociation;AWS::ImageBuilder::Image;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::SecurityGroup;AWS::EC2::Route,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::Subnet;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::ImageBuilder::Component;AWS::ImageBuilder::ImageRecipe;AWS::ImageBuilder::InfrastructureConfiguration;AWS::ImageBuilder::DistributionConfiguration;AWS::ImageBuilder::ImagePipeline;AWS::ImageBuilder::LifecyclePolicy;AWS::ImageBuilder::Image,"We need a CloudFormation template that creates an automated EC2 Image Builder pipeline to produce a custom Amazon Linux 2023 ARM-based AMI. The pipeline must use the specific parent image 'cis-hardened-image-level-1-on-amazon-linux-2023-arm-r5sqt5uxgygqi/x.x.x' to ensure it is hardened with CIS Level 1 benchmarks, and include a custom component to pre-configure it for Elastic Beanstalk compatibility. The image should be built daily, scanned for vulnerabilities, and use a 50 GB root EBS volume. Distribute the AMI to the current region with launch permissions shared to a provided AWS Organization ID parameter and a list of two dummy AWS account IDs representing separate dev and prod deployment environments. Finally, images must be automatically deleted after 6 months via a lifecycle policy."
3,9,True,3,5,7,5,0,2,100.0,71.43,,0,0,False,False,False,cfn_templates/aws-samples__aws-cloudformation-publisher/cfn.template,AWS::CodeBuild::Project;AWS::Events::Rule;AWS::IAM::Role;AWS::SNS::TopicPolicy;AWS::SNS::Topic,,AWS::KMS::Key;AWS::KMS::Alias,AWS::IAM::Role;AWS::KMS::Key;AWS::KMS::Alias;AWS::SNS::Topic;AWS::SNS::TopicPolicy;AWS::Events::Rule;AWS::CodeBuild::Project,"We need a CloudFormation template that creates a CodeBuild project to automatically publish CloudFormation templates to S3 buckets in every AWS region, along with an SNS topic and an EventBridge rule to send build status notifications. The project should have an IAM role with permissions for S3, CodeCommit, EC2 describe regions, STS, CloudWatch Logs, and ECR. The build script should handle packaging and uploading templates, creating region-specific buckets, and generating an index page. The template should be self-contained and deployable without additional configuration."
4,10,True,5,12,11,7,5,4,58.33,63.64,,0,0,False,False,False,cfn_templates/superwerker__superwerker/templates/security-hub.yaml,AWS::SSM::Document;AWS::SSM::Document;AWS::Events::Rule;AWS::Events::Rule;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role,AWS::SSM::Document;AWS::SSM::Document;AWS::SSM::Document;AWS::SSM::Document;AWS::IAM::Role,AWS::Lambda::Function;Custom::InitialSetup;AWS::SSM::Parameter;AWS::SSM::Parameter,AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::Role;AWS::SSM::Document;AWS::SSM::Document;AWS::Lambda::Function;Custom::InitialSetup;AWS::Events::Rule;AWS::Events::Rule,"We need a CloudFormation template that creates a fully automated Security Hub deployment across our entire AWS Organization, leveraging AWS Control Tower. The solution should automatically enable Security Hub in the designated audit account as the delegated administrator, then enable Security Hub in the log archive account and any future accounts created via Control Tower, adding them as members. It must use EventBridge rules that react to the Control Tower lifecycle events indicating a new account was successfully provisioned and that the landing zone setup or update has finished, invoking SSM automation documents that handle the cross-account enablement, member invitation, and acceptance workflows. The automation should read the audit and log archive account IDs from configuration values stored under the ""/superwerker/"" path in Parameter Store, and should perform cross-account actions by assuming the cross-account administration role that AWS Control Tower automatically provisions in every account it manages, named ""AWSControlTowerExecution"". The template should define all required IAM roles, SSM documents, and EventBridge rules to make the process fully event-driven and self-service."
5,11,True,4,15,17,15,0,2,100.0,88.24,,0,0,False,False,False,cfn_templates/esabitova__aws-digito-artifacts-gameday/resource_manager/cloud_formation_templates/DynamoDBTemplate.yml,AWS::DynamoDB::Table;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,,AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,AWS::DynamoDB::Table;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,"We need a CloudFormation template that creates a DynamoDB table for testing purposes with a single attribute key named ""USER_ID"" as the hash key, using on-demand billing and point-in-time recovery enabled, along with a comprehensive set of CloudWatch alarms to monitor the table's health and performance, including alarms for write throttle events, throttled requests, conditional check failures, user and system errors, transaction conflicts, online index throttle events, successful request latency, account-level and table-level read and write capacity utilization, and replication-related metrics like pending replication count and replication latency, with all alarms configured to evaluate metrics at 60-second periods and using thresholds of 1 for count-based alarms, 10 for online index throttle events, 100 milliseconds for successful request latency, 85 percent for utilization metrics, 100 for pending replication count, and 10 milliseconds for replication latency, with replication alarms (pending replication count and replication latency) using 5 evaluation periods and 3 datapoints to trigger."
6,12,True,4,21,17,17,4,0,80.95,100.0,,0,0,False,False,False,cfn_templates/Tianyi2__IaCGen/Data/groud_truth/template/pattern3-base.yaml,AWS::EC2::EIP;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::NatGateway;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::RouteTable;AWS::EC2::RouteTable,,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,"We need a CloudFormation template that creates a VPC in us-east-1 for a re:Invent security workshop pattern, using a 172.31.0.0/16 CIDR, two public subnets (172.31.1.0/24 and 172.31.3.0/24) with auto-assign public IP enabled, two private subnets (172.31.2.0/24 and 172.31.4.0/24), with the four subnets distributed across two distinct Availability Zones selected dynamically rather than hardcoded AZ names; the template should also provision an Internet Gateway attached to the VPC, a NAT Gateway in one public subnet backed by an Elastic IP, separate route tables for the public and private subnets with 0.0.0.0/0 routes to the Internet Gateway and NAT Gateway respectively, and appropriate subnet-to-route-table associations, with all resources tagged with Key ""ResourceType"" value ""ReInvent2020-SecurityTheWellArchitectedWay-Pattern3""; finally, the stack should output and export the VPC ID, both public subnet IDs, and both private subnet IDs using the stack name as the export prefix."
7,13,True,5,35,35,33,2,2,94.29,94.29,,0,0,False,False,False,cfn_templates/aws-samples__sample-emr-celeborn-shuffle-service/shared-infra/cloudformation/vpc.yaml,AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::InternetGateway;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::Logs::LogGroup;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::FlowLog,AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint,AWS::KMS::Key;AWS::KMS::Alias,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::KMS::Key;AWS::KMS::Alias;AWS::Logs::LogGroup;AWS::IAM::Role;AWS::EC2::FlowLog;AWS::EC2::VPCEndpoint;AWS::EC2::SecurityGroup;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint,"We need a CloudFormation template that creates a shared VPC for EMR on EKS and Celeborn clusters, with high availability across two Availability Zones, including two public and two private subnets with default CIDR ranges of 10.0.1.0/24, 10.0.2.0/24, 10.0.10.0/24, and 10.0.20.0/24 respectively, an Internet Gateway, two NAT Gateways (one per AZ), and associated route tables so that private subnets route outbound traffic through the NAT Gateways while public subnets route through the Internet Gateway, and the template should also provision a new KMS key to encrypt the VPC Flow Logs, which are required with a retention period of 30 days and streamed to a CloudWatch Log Group, along with an S3 Gateway Endpoint and a set of interface VPC endpoints for SSM, EC2, CloudWatch Logs, CloudWatch Monitoring, STS, EMR, and KMS, all deployed in the private subnets with a security group that allows HTTPS traffic from the VPC CIDR, and the template should use a ProjectName parameter defaulting to ""emr-celeborn-demo"" for tagging all resources."
8,16,True,3,8,24,1,7,23,12.5,4.17,,0,0,False,False,False,cfn_templates/PRX__Infrastructure/dns/podcastgarage.org-hosted_zone.yml,AWS::Route53::HostedZone,AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::Route53::HostedZone;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet,AWS::Route53::HostedZone;AWS::Route53::HostedZone;AWS::EC2::VPC;AWS::EC2::Subnet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet,"We need a CloudFormation template that creates a Route53 hosted zone for the domain podcastgarage.org, along with all necessary DNS record sets to support the website hosted on Squarespace using four public A records and a CNAME for www, email via G Suite with MX, SPF, DMARC with strict rejection policy and aggregate/failure reports, domain verification, internal records for a printer on a private network address, and service-specific records for ZenDesk (including verification TXT, domain validation CNAMEs, and DKIM CNAMEs), Google Workspace DKIM, and Campaign Monitor DKIM and bounce handling with SPF and MX records."
9,18,True,3,9,22,1,8,21,11.11,4.55,,0,0,False,False,False,cfn_templates/PRX__Infrastructure/dns/trax.fm-hosted_zone.yml,AWS::Route53::HostedZone,AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup;AWS::Route53::RecordSetGroup,AWS::S3::Bucket;AWS::KMS::Key;AWS::CloudFront::OriginAccessControl;AWS::CloudFront::Distribution;AWS::WAFv2::WebACL;AWS::CertificateManager::Certificate;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet,AWS::KMS::Key;AWS::WAFv2::WebACL;AWS::Route53::HostedZone;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::S3::Bucket;AWS::CloudFront::OriginAccessControl;AWS::CertificateManager::Certificate;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::CloudFront::Distribution;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet;AWS::Route53::RecordSet,"We need a CloudFormation template that creates a Route 53 hosted zone, parameterized to accept a domain name defaulting to 'trax.fm.', along with all necessary DNS record sets to support production email, website hosting, and third-party integrations. The hosted zone should be tagged with standard metadata tags indicating a Production environment. Configure a robust email security posture by creating a root TXT record combining SPF includes for Zendesk, CreateSend, and Google, a DMARC record configured to reject failures and send aggregate/forensic reports to designated administrative email addresses, and an MX record pointing to Google's SMTP servers. For web traffic, provision A record aliases for the apex domain and 'www' subdomain pointing to a CloudFront distribution. Additionally, create the necessary CNAME, TXT, and MX records to validate and configure email/domain alignment for Zendesk, Campaign Monitor, Squarespace, and Google Workspace (including DKIM and bounce subdomains). Finally, include AWS ACM validation CNAME records for the apex and www domains, assuming all ephemeral validation tokens, DKIM public keys, and AWS-generated ACM hashes will be supplied via parameters or standard dummy values."
