row_index,ground_truth_path,matched,difficulty,template_empty,resource_req,resource_gen,resource_cor,resource_missing,resource_extra,resource_cov_pct,resource_acc_pct,resource_missing_list,resource_extra_list,data_req,data_gen,data_cor,data_missing,data_extra,data_cov_pct,data_acc_pct,data_missing_list,data_extra_list,variable_req,variable_gen,variable_cor,variable_missing,variable_extra,variable_cov_pct,variable_acc_pct,variable_missing_list,variable_extra_list,output_req,output_gen,output_cor,output_missing,output_extra,output_cov_pct,output_acc_pct,output_missing_list,output_extra_list
0,iac_benchmark/scenarios/terrads_38c75e1144d6,True,3.0,False,6,4,4,2,0,66.67,100.0,aws_kms_external_key;aws_kms_replica_external_key,,3,3,3,0,0,100.0,100.0,,,38,22,11,27,11,28.95,50.0,deletion_window_in_days;custom_key_store_id;key_hmac_users;bypass_policy_lockout_safety_check;primary_external_key_arn;route53_dnssec_sources;aliases_use_name_prefix;override_policy_documents;create_replica;key_statements;create_external;computed_aliases;key_service_roles_for_autoscaling;key_service_users;key_symmetric_encryption_users;enable_route53_dnssec;create;create_replica_external;valid_to;source_policy_documents;is_enabled;enable_key_rotation;key_asymmetric_sign_verify_users;key_asymmetric_public_encryption_users;key_material_base64;enable_default_policy;policy,hmac_users;symmetric_users;custom_policy_statements;route53_dnssec_users;asymmetric_sign_verify_users;ec2_auto_scaling_roles;asymmetric_public_encryption_users;service_users;create_key;override_policy_document;create_replica_key,8,4,2,6,2,25.0,50.0,external_key_usage;aliases;external_key_state;external_key_expiration_model;key_policy;grants,grant_ids;alias_arns
1,iac_benchmark/scenarios/terrads_1db4706734d9,True,3.0,False,5,5,5,0,0,100.0,100.0,,,3,3,2,1,1,66.67,66.67,aws_partition,aws_iam_policy_document,29,17,13,16,4,44.83,76.47,lambda_success_feedback_role_arn;tags;kms_master_key_arn;create_sns_topic_policy;name_prefix;firehose_success_feedback_role_arn;name;sns_topic_subscriptions;delivery_policy;http_success_feedback_role_arn;display_name;key_deletion_window;enable_key_rotation;sqs_success_feedback_role_arn;application_success_feedback_role_arn;policy,kms_key_arn;topic_policy_json;subscriptions;topic_name,9,0,0,9,0,0.0,0.0,arn;subscription_id;subscription_arn;subscription_owner_id;tags_all;subscription_confirmation_was_authenticated;id;subscription_pending_confirmation;owner,
2,iac_benchmark/scenarios/terrads_6516229c5944,True,3.0,False,8,9,7,1,2,87.5,77.78,aws_iam_user_group_membership,aws_iam_group_membership;aws_iam_role_policy_attachment,4,3,3,1,0,75.0,100.0,aws_iam_policy,,12,11,2,10,9,16.67,18.18,create_iam_role_with_policy;group_info;create_iam_read_only_and_s3_full_access_policy_attachment;create_iam_ec2_get_console_screenshot_policy_attachment;users;ec2_get_console_screenshot;create_iam_group;create_iam_ec2_get_console_screenshot_policy;iam_read_only_and_s3_full_access;create_iam_user_group_membership,create_ec2_console_screenshot_policy;create_iam_developer_group;iam_group_name;iam_users;create_group_membership;create_user_policy_attachments;s3_bucket_name;create_ec2_instance_role;create_group_policy_attachment,0,0,0,0,0,100.0,100.0,,
3,iac_benchmark/scenarios/gh_8963e028,True,3.0,False,7,11,7,0,4,100.0,63.64,,aws_sns_topic;aws_iam_role_policy_attachment;aws_iam_role_policy_attachment;aws_iam_role,0,6,0,0,6,0.0,0.0,,aws_caller_identity;aws_iam_policy_document;aws_iam_policy_document;aws_kms_key;aws_kms_key;aws_partition,26,20,4,22,16,15.38,20.0,tags;backup_vault_notifications_backup_vault_name;backup_region_settings_resource_type_opt_in_preference;enable_backup_vault_policy;backup_selection_iam_role_arn;backup_vault_kms_key_arn;name;backup_vault_notifications_sns_topic_arn;backup_plan_rule;backup_vault_policy;backup_global_settings;backup_selection_plan_id;enable_backup_plan;backup_selection_resources;backup_vault_notifications_backup_vault_events;backup_vault_policy_backup_vault_name;backup_selection_selection_tag;enable_backup_global_settings;enable_backup_vault_notifications;enable_backup_selection;enable_backup_vault;enable_backup_region_settings,kms_key_arn;backup_plan_rules;create_region_settings;sns_topic_name;iam_role_name;is_organization_member;create_global_settings;create_backup_selection;create_vault_notifications;prefix;create_backup_vault;create_vault_access_policy;backup_selections;sns_kms_key_arn;create_backup_plan;create_backup_iam_role,13,0,0,13,0,0.0,0.0,backup_plan_id;backup_vault_arn;backup_global_settings_id;backup_plan_arn;backup_vault_id;backup_vault_policy_backup_vault_arn;backup_selection_id;backup_vault_notifications_id;backup_vault_policy_id;backup_vault_notifications_backup_vault_arn;backup_region_settings_id;backup_vault_recovery_points;backup_plan_version,
4,iac_benchmark/scenarios/terrads_e6f040aa6f83,True,3.0,False,6,6,0,6,6,0.0,0.0,aws_cloudfront_origin_access_identity;aws_cloudfront_public_key;aws_cloudfront_cache_policy;aws_cloudfront_realtime_log_config;aws_cloudfront_distribution;aws_cloudfront_origin_request_policy,aws_internet_gateway;aws_vpc;aws_route_table;aws_subnet;aws_route_table_association;aws_route_table_association,0,1,0,0,1,0.0,0.0,,aws_availability_zones,25,4,0,25,4,0.0,0.0,tags;cloudfront_distribution_stack;cloudfront_public_key_name;cloudfront_realtime_log_config_name;enable_cloudfront_realtime_log_config;enable_cloudfront_cache_policy;cloudfront_origin_request_policy_name;cloudfront_origin_access_identity_comment;cloudfront_realtime_log_config_fields;cloudfront_public_key_comment;name;enable_cloudfront_distribution;environment;cloudfront_realtime_log_config_endpoints;enable_cloudfront_origin_request_policy;enable_cloudfront_origin_access_identity;cloudfront_origin_request_policy_comment;cloudfront_public_key_encoded_key;cloudfront_public_key_name_prefix;cloudfront_origin_request_policy_query_strings_config;cloudfront_origin_request_policy_headers_config;cloudfront_realtime_log_config_sampling_rate;cloudfront_cache_policy_stack;cloudfront_origin_request_policy_cookies_config;enable_cloudfront_public_key,associations_map;vpc_cidr;subnet_names;route_table_names,24,0,0,24,0,0.0,0.0,cloudfront_public_key_id;cloudfront_distribution_etag;cloudfront_public_key_caller_reference;cloudfront_distribution_in_progress_validation_batches;cloudfront_distribution_status;cloudfront_distribution_domain_name;cloudfront_public_key_etag;cloudfront_distribution_id;cloudfront_origin_access_identity_etag;cloudfront_cache_policy_id;cloudfront_distribution_arn;cloudfront_realtime_log_config_id;cloudfront_distribution_hosted_zone_id;cloudfront_origin_access_identity_cloudfront_access_identity_path;cloudfront_origin_access_identity_s3_canonical_user_id;cloudfront_origin_access_identity_caller_reference;cloudfront_realtime_log_config_arn;cloudfront_origin_request_policy_id;cloudfront_cache_policy_etag;cloudfront_origin_request_policy_etag;cloudfront_distribution_caller_reference;cloudfront_distribution_last_modified_time;cloudfront_origin_access_identity_id;cloudfront_origin_access_identity_iam_arn,
5,iac_benchmark/scenarios/terrads_8ecc16737478,True,3.0,False,8,6,2,6,4,25.0,33.33,aws_vpc_security_group_egress_rule;aws_vpc_security_group_egress_rule;aws_vpc_security_group_egress_rule;aws_vpc_security_group_egress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule,aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule,1,1,1,0,0,100.0,100.0,,,0,1,0,0,1,0.0,0.0,,vpc_name,5,0,0,5,0,0.0,0.0,cluster1_additional_sg_id;vpc_cidr;vpc_id;cluster2_additional_sg_id;subnet_ids,
6,iac_benchmark/scenarios/terrads_037b2fe08aa0,True,3.0,False,5,9,5,0,4,100.0,55.56,,null_resource;aws_iam_role;aws_lambda_function;aws_iam_role_policy_attachment,0,0,0,0,0,100.0,100.0,,,43,40,22,21,18,51.16,55.0,role_arn;allow_admin_create_user_only;name;access_token_validity;precedence;device_only_remembered_on_user_prompt;software_token_mfa_configuration;id_token_validity;clients;lambda_config;cert_arn;verification_message_template;domain;refresh_token_validity;user_group;recovery_mechanism;schema;zone_id;challenge_required_on_new_device;generate_secret;case_sensitive,group_precedence;case_sensitive_username;client_app_names;client_generate_secret;software_token_mfa_enabled;device_configuration;group_role_arn;acm_certificate_arn;route53_zone_id;domain_string;token_validities;custom_schema_attributes;pool_name;lambda_trigger_config_map;admin_create_user_only;verification_message_template_by_link;recovery_mechanisms;group_name,2,0,0,2,0,0.0,0.0,arn;clients_id,
7,iac_benchmark/scenarios/terrads_6ec75c3ea43a,True,3.0,False,10,10,10,0,0,100.0,100.0,,,0,1,0,0,1,0.0,0.0,,aws_availability_zones,19,6,3,16,3,15.79,50.0,subnet_c_public;subnet_c_cidr_block;subnet_c_az;public_sb_name;subnet_a_name;subnet_b_az;nat_gw_name;subnet_c_name;subnet_b_name;subnet_a_az;route_tb_name;subnet_a_public;subnet_b_cidr_block;subnet_a_cidr_block;subnet_b_public;internetgw_name,nat_gateway_name;route_table_name;igw_name,1,0,0,1,0,0.0,0.0,nat_public_ip,
8,iac_benchmark/scenarios/terrads_d1235c941302,True,3.0,False,11,12,11,0,1,100.0,91.67,,aws_sns_topic,0,2,0,0,2,0.0,0.0,,aws_caller_identity;aws_partition,13,7,2,11,5,15.38,28.57,monthly_cron_schedule;daily_backup_lifecycledays;selection_tag;daily_cron_schedule;backup_vault_name;backup_notifications_events;weekly_cron_schedule;weekly_backup_lifecycledays;monthly_backup_lifecycledays;backup_notifications_enabled;backup_notifications_topic,tag_key;sns_topic_name;enable_notifications;notification_events;vault_name,0,0,0,0,0,100.0,100.0,,
9,iac_benchmark/scenarios/gh_0af37618,True,3.0,False,10,10,10,0,0,100.0,100.0,,,3,1,1,2,0,33.33,100.0,aws_region;aws_caller_identity,,6,6,6,0,0,100.0,100.0,,,8,0,0,8,0,0.0,0.0,vpc_cidr;vpc_id;private_subnet_cidrs;public_subnet_cidrs;public_subnet_ids;private_subnet_ids;region;account_id,
