row_index,ground_truth_path,matched,difficulty,template_empty,resource_req,resource_gen,resource_cor,resource_missing,resource_extra,resource_cov_pct,resource_acc_pct,resource_missing_list,resource_extra_list,data_req,data_gen,data_cor,data_missing,data_extra,data_cov_pct,data_acc_pct,data_missing_list,data_extra_list,variable_req,variable_gen,variable_cor,variable_missing,variable_extra,variable_cov_pct,variable_acc_pct,variable_missing_list,variable_extra_list,output_req,output_gen,output_cor,output_missing,output_extra,output_cov_pct,output_acc_pct,output_missing_list,output_extra_list
0,iac_benchmark/scenarios/terrads_2b3dc3e26799,True,3,False,5,4,4,1,0,80.0,100.0,aws_kms_ciphertext,,0,4,0,0,4,0.0,0.0,,aws_caller_identity;aws_iam_policy_document;aws_iam_policy_document;aws_kms_ciphertext,37,24,1,36,23,2.7,4.17,kms_external_key_valid_to;kms_external_key_enabled;kms_alias_target_key_id;kms_key_is_enabled;kms_key_description;kms_grant_retire_on_delete;kms_key_name;enable_kms_grant;kms_external_key_key_material_base64;kms_grant_grantee_principal;kms_ciphertext_plaintext;kms_key_enable_key_rotation;kms_grant_name;kms_external_key_name;kms_external_key_description;kms_key_customer_master_key_spec;kms_key_policy;enable_kms_alias;kms_grant_grant_creation_tokens;kms_external_key_deletion_window_in_days;kms_key_key_usage;kms_grant_operations;kms_external_key_policy;kms_grant_constraints;enable_kms_external_key;kms_alias_name;kms_ciphertext_context;kms_alias_name_prefix;kms_grant_key_id;enable_kms_ciphertext;kms_key_deletion_window_in_days;enable_kms_key;name;kms_grant_retiring_principal;kms_ciphertext_key_id;tags,alias_name;encryption_context_equals;key_material_base64;plaintext;create_key;enable_encryption;create_external_key;encryption_context_subset;operations;retiring_principal;key_policy;description;key_usage;key_spec;create_alias;external_key_policy;context;grantee_principal;valid_to;name_prefix;deletion_window_in_days;enable_key_rotation;create_grant,15,7,0,15,7,0.0,0.0,kms_ciphertext_id;kms_external_key_arn;kms_grant_token;kms_external_key_state;kms_external_key_id;kms_alias_target_key_arn;kms_external_key_usage;kms_external_key_expiration_model;kms_grant_id;kms_ciphertext_ciphertext_blob;kms_key_arn;kms_key_id;kms_alias_arn;kms_grant_grant_id;kms_alias_id,alias_arn;key_arn;key_id;external_key_arn;encrypted_data;grant_id;external_key_id
1,iac_benchmark/scenarios/terrads_037b2fe08aa0,True,3,False,5,11,5,0,6,100.0,45.45,,aws_acm_certificate;aws_route53_record;aws_route53_zone;aws_iam_role;aws_iam_role_policy;aws_acm_certificate_validation,0,1,0,0,1,0.0,0.0,,aws_iam_policy_document,43,17,8,35,9,18.6,47.06,prevent_user_existence_errors;sms_verification_message;allow_admin_create_user_only;supported_identity_providers;create_route53_record;recovery_mechanism;read_attributes;invite_message_template;challenge_required_on_new_device;clients;domain;allowed_oauth_flows;email_verification_message;access_token_validity;write_attributes;zone_id;allowed_oauth_flows_user_pool_client;enable_token_revocation;callback_urls;sms_authentication_message;id_token_validity;role_arn;device_only_remembered_on_user_prompt;generate_secret;email_verification_subject;user_group;precedence;explicit_auth_flows;cert_arn;refresh_token_validity;allowed_oauth_scopes;case_sensitive;token_validity_units;name;logout_urls,user_group_config;user_pool_clients;username_configuration;email_configuration;admin_create_user_config;account_recovery_setting;user_pool_name;custom_domain_name;device_configuration,2,0,0,2,0,0.0,0.0,arn;clients_id,
2,iac_benchmark/scenarios/terrads_c97056850842,True,4,False,15,15,15,0,0,100.0,100.0,,,0,1,0,0,1,0.0,0.0,,aws_availability_zones,10,2,2,8,0,20.0,100.0,tag-env;region;tgw_rt-association_id;tgw_rt-propagation_id;admin_port;tgw_id;tags;vpc_cidr,,6,15,1,5,14,16.67,6.67,subnet_az1_ids;subnet_az1_cidrs;nsg_ids;fgt_ni_ids;fgt_ni_ips,bastion_subnet_cidr;public_subnet_id;public_subnet_cidr;bastion_subnet_id;public_sg_id;public_eni_ip;allow_all_sg_id;private_subnet_cidr;public_eni_id;private_eni_ip;private_sg_id;private_subnet_id;bastion_sg_id;private_eni_id
3,iac_benchmark/scenarios/gh_b7d56bc5,True,4,False,18,4,2,16,2,11.11,50.0,aws_iam_user;aws_iam_user;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_access_key;aws_iam_access_key,aws_iam_user_policy_attachment;aws_iam_policy,0,0,0,0,0,100.0,100.0,,,0,0,0,0,0,100.0,100.0,,,0,0,0,0,0,100.0,100.0,,
4,iac_benchmark/scenarios/gh_75c55509,True,4,False,8,10,8,0,2,100.0,80.0,,aws_cloudwatch_log_group;aws_kms_key,0,0,0,0,0,100.0,100.0,,,62,19,2,60,17,3.23,10.53,route53_vpc_association_authorization_zone_id;route53_health_check_invert_healthcheck;route53_zone_name;enable_route53_zone;route53_zone_association_vpc_region;route53_query_log_cloudwatch_log_group_arn;enable_route53_query_log;route53_key_signing_key_name;route53_record_weighted_routing_policy;route53_query_log_zone_id;route53_zone_force_destroy;route53_health_check_insufficient_data_health_status;route53_record_ttl;route53_record_set_identifier;route53_record_alias;route53_health_check_ip_address;route53_health_check_regions;route53_health_check_resource_path;route53_health_check_disabled;route53_record_multivalue_answer_routing_policy;route53_key_signing_key_key_management_service_arn;route53_health_check_child_healthchecks;route53_record_geolocation_routing_policy;route53_record_allow_overwrite;route53_zone_vpc;route53_delegation_set_reference_name;route53_zone_comment;route53_health_check_child_health_threshold;route53_health_check_reference_name;route53_key_signing_key_hosted_zone_id;route53_health_check_fqdn;route53_record_latency_routing_policy;enable_route53_zone_association;route53_vpc_association_authorization_vpc_id;route53_record_failover_routing_policy;route53_health_check_request_interval;route53_record_parent_zone_id;route53_zone_association_vpc_id;enable_route53_record;enable_route53_vpc_association_authorization;route53_zone_delegation_set_id;route53_record_records;route53_health_check_search_string;route53_health_check_cloudwatch_alarm_region;route53_health_check_type;route53_health_check_name;route53_health_check_port;route53_health_check_cloudwatch_alarm_name;route53_key_signing_key_status;route53_health_check_failure_threshold;route53_record_type;route53_health_check_enable_sni;route53_record_name;environment;route53_zone_association_zone_id;enable_route53_health_check;route53_health_check_measure_latency;enable_route53_key_signing_key;enable_route53_delegation_set;route53_record_health_check_id,comment;health_checks;force_destroy;enable_vpc_association_authorization;vpc_id;vpc_association_authorization;enable_dnssec;enable_zone_association;delegation_set_reference_name;kms_key_arn;vpc_region;log_group_name;zone_associations;enable_delegation_set;enable_query_logging;private_zone;records,25,0,0,25,0,0.0,0.0,route53_record_fqdn;route53_health_check_id;aws_route53_zone_zone_id;route53_key_signing_key_digest_value;route53_delegation_set_id;route53_zone_association_vpc_region;route53_key_signing_key_digest_algorithm_type;route53_key_signing_key_signing_algorithm_mnemonic;route53_vpc_association_authorization_id;route53_zone_association_id;route53_key_signing_key_flag;route53_key_signing_key_public_key;route53_record_name;route53_zone_association_zone_id;route53_key_signing_key_digest_algorithm_mnemonic;route53_delegation_set_name_servers;aws_route53_zone_name_servers;route53_query_log_id;route53_key_signing_key_ds_record;aws_route53_zone_id;route53_key_signing_key_dnskey_record;route53_key_signing_key_signing_algorithm_type;route53_key_signing_key_id;route53_zone_association_vpc_id;route53_key_signing_key_key_tag,
5,iac_benchmark/scenarios/terrads_ba0c51a35dac,True,3,False,11,11,8,3,3,72.73,72.73,aws_security_group_rule;aws_security_group_rule;aws_route,aws_subnet;aws_subnet;aws_route_table_association,0,1,0,0,1,0.0,0.0,,aws_availability_zones,6,0,0,6,0,0.0,0.0,ntier_region;ntier_subnet_tags;ntier_subnet_azs;ntier_cidr;web_subnet_indexes;other_subnet_indexes,,1,1,0,1,1,0.0,0.0,vpcid,vpc_id
6,iac_benchmark/scenarios/terrads_b399f0e51686,True,5,False,13,13,11,2,2,84.62,84.62,aws_kms_key_policy;random_string,aws_s3_bucket_public_access_block;aws_s3_bucket_server_side_encryption_configuration,3,6,1,2,5,33.33,16.67,aws_region;aws_partition,aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document,18,15,4,14,11,22.22,26.67,cloudtrail_name;include_management_events;decrypt_role_arn;log_retention_days;enable_logging;enable_s3_bucket_versioning;bucket_force_destroy;data_resource_type;insight_selector;include_global_service_events;create_sns_topic;rw_type;existing_sns_topic_arn;is_multi_region_trail,read_write_type;insight_selectors;trail_name;retention_days;kms_alias_name;force_destroy;role_name;name_prefix;enable_sns;enable_versioning;log_group_name,8,0,0,8,0,0.0,0.0,s3_bucket_arn;kms_key_arn;s3_bucket_id;cloudtrail_arn;sns_topic_arn;cloudtrail_id;kms_key_id;cloudwatch_log_group_arn,
7,iac_benchmark/scenarios/terrads_01d04d611b22,True,5,False,14,14,8,6,6,57.14,57.14,aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_egress_rule;aws_vpc_security_group_egress_rule,aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule,0,1,0,0,1,0.0,0.0,,aws_availability_zones,11,1,0,11,1,0.0,0.0,is_ipv6_enabled;enable_dns_support;vpc_ip4_cidr_block;ipv4_subnets_new_bits;ipv6_subnets_new_bits;sn_details;environment;aws_profile;aws_region;instance_tenancy;enable_dns_hostnames,tags,9,0,0,9,0,0.0,0.0,vpc_default_network_acl_id;vpc_ip4_cidr_block;web_sg_id;db_sg_id;vpc_ipv6_cidr_block;vpc_arn;app_sg_id;subnets_ids;vpc_id,
8,iac_benchmark/scenarios/terrads_01334dedc4eb,True,5,False,19,19,19,0,0,100.0,100.0,,,0,1,0,0,1,0.0,0.0,,aws_availability_zones,10,3,3,7,0,30.0,100.0,tag-env;region;tgw_rt-association_id;tgw_rt-propagation_id;tgw_id;vpc-sec_cidr;tags,,6,8,0,6,8,0.0,0.0,subnet_az1_ids;fgt_ni_ids;vpc-sec_id;fgt_ni_ips;subnet_az1_cidrs;nsg_ids,security_group_ids;public_interface_ip;subnet_ids;public_interface_id;private_interface_ip;private_interface_id;vpc_id;subnet_cidrs
9,iac_benchmark/scenarios/gh_8159ec72,True,5,False,14,31,13,1,18,92.86,41.94,aws_ses_active_receipt_rule_set,aws_ses_event_destination;aws_ses_event_destination;aws_s3_bucket_server_side_encryption_configuration;aws_sns_topic;aws_sns_topic;aws_sns_topic;aws_cloudwatch_log_group;aws_kinesis_firehose_delivery_stream;aws_iam_role_policy;aws_s3_bucket_public_access_block;aws_s3_bucket_public_access_block;aws_s3_bucket;aws_s3_bucket;null_resource;aws_s3_bucket_versioning;aws_iam_role;aws_iam_role;aws_lambda_function,0,0,0,0,0,100.0,100.0,,,62,26,2,60,24,3.23,7.69,enable_ses_domain_dkim;ses_template_subject;ses_receipt_rule_tls_policy;ses_identity_policy_name;ses_email_identity_emails;ses_template_name;ses_configuration_set_delivery_options;ses_receipt_rule_bounce_action;ses_configuration_set_sending_enabled;ses_identity_notification_topic_include_original_headers;ses_template_text;ses_receipt_filter_stack;enable_ses_domain_mail_from;ses_domain_identity_verification_domain;enable_ses_email_identity;ses_receipt_rule_name;ses_domain_mail_from_mail_from_domain;ses_domain_dkim_domain;enable_ses_domain_identity;ses_receipt_rule_enabled;ses_identity_notification_topic_topic_arn;ses_identity_policy_identity;ses_domain_mail_from_behavior_on_mx_failure;ses_configuration_set_reputation_metrics_enabled;ses_event_destination_kinesis_destination;ses_template_html;enable_ses_identity_notification_topic;ses_receipt_rule_stop_action;ses_event_destination_enabled;ses_receipt_rule_scan_enabled;ses_receipt_rule_workmail_action;ses_receipt_rule_add_header_action;ses_receipt_rule_rule_set_name;ses_event_destination_configuration_set_name;ses_receipt_rule_lambda_action;enable_ses_template;ses_receipt_rule_sns_action;ses_receipt_rule_set_rule_set_name;enable_ses_event_destination;ses_domain_identity_domains;enable_ses_configuration_set;ses_configuration_set_name;enable_ses_active_receipt_rule_set;ses_active_receipt_rule_set_rule_set_name;enable_ses_receipt_rule;ses_event_destination_cloudwatch_destination;ses_event_destination_name;ses_identity_notification_topic_notification_type;enable_ses_identity_policy;ses_event_destination_sns_destination;ses_receipt_rule_s3_action;ses_identity_policy_policy;ses_receipt_rule_after;enable_ses_receipt_rule_set;ses_identity_notification_topic_identity;enable_ses_receipt_filter;ses_event_destination_matching_types;ses_domain_mail_from_domain;ses_receipt_rule_recipients;enable_ses_domain_identity_verification,enable_domain_identity;enable_s3_action;enable_receipt_rule;enable_email_identity;enable_dkim;enable_bounce_action;enable_event_destination_sns;enable_lambda_action;email;enable_event_destination_kinesis;enable_sns_action;enable_identity_policy;enable_configuration_set;enable_receipt_rule_set;domain;enable_workmail_action;enable_domain_verification;enable_add_header_action;enable_stop_action;enable_template;enable_notification_topic;enable_receipt_filter;enable_event_destination_cloudwatch;enable_mail_from,27,40,0,27,40,0.0,0.0,ses_domain_mail_from_id;ses_domain_dkim_id;ses_active_receipt_rule_set_arn;ses_configuration_set_id;ses_identity_notification_topic_id;ses_template_arn;ses_configuration_set_last_fresh_start;ses_event_destination_arn;ses_domain_identity_verification_arn;ses_receipt_rule_id;ses_domain_identity_arn;ses_domain_identity_verification_id;ses_email_identity_arn;ses_domain_identity_verification_token;ses_receipt_rule_set_arn;ses_receipt_rule_set_id;ses_email_identity_id;ses_receipt_filter_id;ses_identity_policy_id;ses_configuration_set_arn;ses_event_destination_id;ses_template_id;ses_receipt_rule_arn;ses_domain_identity_id;ses_receipt_filter_arn;ses_domain_dkim_dkim_tokens;ses_active_receipt_rule_set_id,receipt_rule_set_id;template_name;notification_topic_bounce_arn;event_destination_cloudwatch_id;domain_identity_id;identity_policy_name;receipt_rule_id;event_destination_cloudwatch_name;domain_verification_id;receipt_rule_set_name;receipt_rule_name;event_destination_sns_name;domain_dkim_id;email_identity_arn;configuration_set_arn;event_destination_sns_id;domain_verification_verification_token;template_id;event_destination_cloudwatch_arn;receipt_rule_arn;mail_from_id;receipt_filter_id;configuration_set_id;template_arn;receipt_filter_arn;identity_policy_id;email_identity_id;domain_identity_verification_token;event_destination_kinesis_id;domain_dkim_tokens;event_destination_kinesis_arn;event_destination_kinesis_name;configuration_set_name;mail_from_domain;receipt_rule_set_arn;notification_topic_delivery_arn;event_destination_sns_arn;domain_identity_arn;notification_topic_complaint_arn;receipt_filter_name
