row_index,ground_truth_path,matched,difficulty,template_empty,resource_req,resource_gen,resource_cor,resource_missing,resource_extra,resource_cov_pct,resource_acc_pct,resource_missing_list,resource_extra_list,data_req,data_gen,data_cor,data_missing,data_extra,data_cov_pct,data_acc_pct,data_missing_list,data_extra_list,variable_req,variable_gen,variable_cor,variable_missing,variable_extra,variable_cov_pct,variable_acc_pct,variable_missing_list,variable_extra_list,output_req,output_gen,output_cor,output_missing,output_extra,output_cov_pct,output_acc_pct,output_missing_list,output_extra_list
0,iac_benchmark/scenarios/terrads_2b3dc3e26799,True,3.0,False,5,4,4,1,0,80.0,100.0,aws_kms_ciphertext,,0,4,0,0,4,0.0,0.0,,aws_iam_policy_document;aws_iam_policy_document;aws_kms_ciphertext;aws_caller_identity,37,24,1,36,23,2.7,4.17,kms_key_name;enable_kms_ciphertext;kms_key_is_enabled;kms_grant_grantee_principal;name;kms_key_enable_key_rotation;kms_external_key_deletion_window_in_days;kms_ciphertext_context;kms_grant_grant_creation_tokens;enable_kms_grant;kms_external_key_policy;kms_external_key_key_material_base64;enable_kms_alias;kms_alias_name_prefix;kms_key_key_usage;kms_key_policy;kms_grant_constraints;kms_grant_name;kms_external_key_enabled;kms_grant_retire_on_delete;kms_key_deletion_window_in_days;kms_grant_retiring_principal;tags;kms_ciphertext_plaintext;kms_key_description;kms_grant_key_id;kms_alias_name;kms_key_customer_master_key_spec;kms_external_key_description;enable_kms_key;kms_external_key_valid_to;kms_ciphertext_key_id;enable_kms_external_key;kms_external_key_name;kms_grant_operations;kms_alias_target_key_id,create_key;enable_encryption;plaintext;key_material_base64;enable_key_rotation;description;create_alias;create_grant;encryption_context_subset;key_policy;name_prefix;valid_to;alias_name;retiring_principal;operations;external_key_policy;create_external_key;deletion_window_in_days;key_spec;grantee_principal;context;key_usage;encryption_context_equals,15,7,0,15,7,0.0,0.0,kms_key_id;kms_external_key_usage;kms_grant_id;kms_external_key_arn;kms_grant_token;kms_external_key_expiration_model;kms_grant_grant_id;kms_key_arn;kms_alias_target_key_arn;kms_ciphertext_id;kms_alias_id;kms_external_key_state;kms_alias_arn;kms_external_key_id;kms_ciphertext_ciphertext_blob,encrypted_data;external_key_arn;external_key_id;key_id;key_arn;grant_id;alias_arn
1,iac_benchmark/scenarios/terrads_037b2fe08aa0,True,3.0,False,5,11,5,0,6,100.0,45.45,,aws_acm_certificate_validation;aws_iam_role;aws_iam_role_policy;aws_route53_zone;aws_route53_record;aws_acm_certificate,0,1,0,0,1,0.0,0.0,,aws_iam_policy_document,43,17,8,35,9,18.6,47.06,generate_secret;name;allow_admin_create_user_only;logout_urls;access_token_validity;write_attributes;allowed_oauth_scopes;sms_verification_message;domain;precedence;invite_message_template;email_verification_subject;enable_token_revocation;token_validity_units;recovery_mechanism;id_token_validity;challenge_required_on_new_device;explicit_auth_flows;create_route53_record;supported_identity_providers;zone_id;refresh_token_validity;email_verification_message;sms_authentication_message;user_group;role_arn;read_attributes;prevent_user_existence_errors;allowed_oauth_flows_user_pool_client;callback_urls;allowed_oauth_flows;clients;case_sensitive;cert_arn;device_only_remembered_on_user_prompt,custom_domain_name;admin_create_user_config;user_pool_clients;account_recovery_setting;username_configuration;device_configuration;email_configuration;user_pool_name;user_group_config,2,0,0,2,0,0.0,0.0,clients_id;arn,
2,iac_benchmark/scenarios/terrads_c97056850842,True,4.0,False,15,15,15,0,0,100.0,100.0,,,0,1,0,0,1,0.0,0.0,,aws_availability_zones,10,2,2,8,0,20.0,100.0,tag-env;admin_port;region;tgw_id;tags;tgw_rt-association_id;tgw_rt-propagation_id;vpc_cidr,,6,15,1,5,14,16.67,6.67,nsg_ids;fgt_ni_ips;subnet_az1_ids;subnet_az1_cidrs;fgt_ni_ids,public_eni_id;bastion_sg_id;allow_all_sg_id;public_subnet_cidr;public_subnet_id;bastion_subnet_cidr;private_subnet_cidr;private_eni_ip;private_sg_id;bastion_subnet_id;public_eni_ip;private_subnet_id;private_eni_id;public_sg_id
3,iac_benchmark/scenarios/gh_b7d56bc5,True,4.0,False,18,4,2,16,2,11.11,50.0,aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_user_policy;aws_iam_access_key;aws_iam_access_key;aws_iam_user;aws_iam_user,aws_iam_user_policy_attachment;aws_iam_policy,0,0,0,0,0,100.0,100.0,,,0,0,0,0,0,100.0,100.0,,,0,0,0,0,0,100.0,100.0,,
4,iac_benchmark/scenarios/gh_75c55509,True,4.0,False,8,10,8,0,2,100.0,80.0,,aws_kms_key;aws_cloudwatch_log_group,0,0,0,0,0,100.0,100.0,,,62,19,2,60,17,3.23,10.53,route53_key_signing_key_key_management_service_arn;route53_record_failover_routing_policy;route53_vpc_association_authorization_vpc_id;route53_delegation_set_reference_name;enable_route53_vpc_association_authorization;route53_record_geolocation_routing_policy;route53_zone_association_vpc_id;route53_health_check_type;route53_zone_name;route53_record_weighted_routing_policy;route53_health_check_search_string;route53_record_records;route53_zone_association_zone_id;route53_query_log_cloudwatch_log_group_arn;route53_zone_association_vpc_region;route53_health_check_port;enable_route53_key_signing_key;route53_record_type;route53_record_name;route53_key_signing_key_hosted_zone_id;route53_health_check_cloudwatch_alarm_name;enable_route53_query_log;enable_route53_zone;route53_health_check_cloudwatch_alarm_region;route53_record_allow_overwrite;route53_vpc_association_authorization_zone_id;route53_record_ttl;route53_query_log_zone_id;route53_key_signing_key_name;environment;route53_health_check_disabled;route53_record_set_identifier;route53_record_multivalue_answer_routing_policy;route53_record_health_check_id;route53_key_signing_key_status;route53_health_check_resource_path;route53_zone_vpc;enable_route53_record;route53_health_check_child_health_threshold;route53_health_check_ip_address;route53_record_alias;route53_record_parent_zone_id;route53_health_check_measure_latency;route53_zone_delegation_set_id;route53_zone_comment;enable_route53_health_check;enable_route53_delegation_set;route53_health_check_request_interval;route53_health_check_failure_threshold;route53_health_check_regions;route53_health_check_name;route53_health_check_child_healthchecks;route53_health_check_invert_healthcheck;route53_health_check_fqdn;enable_route53_zone_association;route53_record_latency_routing_policy;route53_health_check_enable_sni;route53_zone_force_destroy;route53_health_check_reference_name;route53_health_check_insufficient_data_health_status,enable_vpc_association_authorization;records;enable_dnssec;log_group_name;delegation_set_reference_name;vpc_id;comment;private_zone;kms_key_arn;enable_query_logging;health_checks;force_destroy;enable_delegation_set;zone_associations;vpc_association_authorization;vpc_region;enable_zone_association,25,0,0,25,0,0.0,0.0,route53_key_signing_key_digest_value;route53_record_fqdn;route53_key_signing_key_signing_algorithm_mnemonic;route53_key_signing_key_public_key;route53_health_check_id;route53_key_signing_key_flag;route53_zone_association_id;route53_key_signing_key_dnskey_record;route53_key_signing_key_key_tag;aws_route53_zone_zone_id;route53_record_name;route53_delegation_set_id;route53_zone_association_vpc_id;route53_key_signing_key_digest_algorithm_mnemonic;route53_vpc_association_authorization_id;aws_route53_zone_name_servers;route53_query_log_id;route53_key_signing_key_digest_algorithm_type;aws_route53_zone_id;route53_zone_association_zone_id;route53_delegation_set_name_servers;route53_key_signing_key_id;route53_key_signing_key_signing_algorithm_type;route53_zone_association_vpc_region;route53_key_signing_key_ds_record,
5,iac_benchmark/scenarios/terrads_ba0c51a35dac,True,3.0,False,11,11,8,3,3,72.73,72.73,aws_route;aws_security_group_rule;aws_security_group_rule,aws_route_table_association;aws_subnet;aws_subnet,0,1,0,0,1,0.0,0.0,,aws_availability_zones,6,0,0,6,0,0.0,0.0,other_subnet_indexes;ntier_region;ntier_cidr;web_subnet_indexes;ntier_subnet_azs;ntier_subnet_tags,,1,1,0,1,1,0.0,0.0,vpcid,vpc_id
6,iac_benchmark/scenarios/terrads_b399f0e51686,True,5.0,False,13,13,11,2,2,84.62,84.62,random_string;aws_kms_key_policy,aws_s3_bucket_server_side_encryption_configuration;aws_s3_bucket_public_access_block,3,6,1,2,5,33.33,16.67,aws_partition;aws_region,aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document,18,15,4,14,11,22.22,26.67,cloudtrail_name;include_management_events;include_global_service_events;create_sns_topic;existing_sns_topic_arn;is_multi_region_trail;rw_type;bucket_force_destroy;insight_selector;enable_s3_bucket_versioning;enable_logging;log_retention_days;decrypt_role_arn;data_resource_type,role_name;insight_selectors;enable_versioning;retention_days;enable_sns;force_destroy;kms_alias_name;name_prefix;read_write_type;log_group_name;trail_name,8,0,0,8,0,0.0,0.0,sns_topic_arn;cloudtrail_id;kms_key_id;s3_bucket_arn;cloudtrail_arn;s3_bucket_id;kms_key_arn;cloudwatch_log_group_arn,
7,iac_benchmark/scenarios/terrads_01d04d611b22,True,5.0,False,14,14,8,6,6,57.14,57.14,aws_vpc_security_group_egress_rule;aws_vpc_security_group_egress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule;aws_vpc_security_group_ingress_rule,aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule;aws_security_group_rule,0,1,0,0,1,0.0,0.0,,aws_availability_zones,11,1,0,11,1,0.0,0.0,enable_dns_hostnames;enable_dns_support;ipv4_subnets_new_bits;vpc_ip4_cidr_block;is_ipv6_enabled;aws_profile;instance_tenancy;environment;aws_region;ipv6_subnets_new_bits;sn_details,tags,9,0,0,9,0,0.0,0.0,vpc_default_network_acl_id;app_sg_id;web_sg_id;vpc_arn;subnets_ids;vpc_ip4_cidr_block;db_sg_id;vpc_id;vpc_ipv6_cidr_block,
8,iac_benchmark/scenarios/terrads_01334dedc4eb,True,5.0,False,19,19,19,0,0,100.0,100.0,,,0,1,0,0,1,0.0,0.0,,aws_availability_zones,10,3,3,7,0,30.0,100.0,tag-env;region;vpc-sec_cidr;tgw_id;tags;tgw_rt-association_id;tgw_rt-propagation_id,,6,8,0,6,8,0.0,0.0,vpc-sec_id;nsg_ids;subnet_az1_ids;fgt_ni_ips;subnet_az1_cidrs;fgt_ni_ids,private_interface_ip;subnet_ids;public_interface_id;private_interface_id;security_group_ids;public_interface_ip;vpc_id;subnet_cidrs
9,iac_benchmark/scenarios/gh_8159ec72,True,5.0,False,14,31,13,1,18,92.86,41.94,aws_ses_active_receipt_rule_set,aws_kinesis_firehose_delivery_stream;aws_cloudwatch_log_group;aws_iam_role;aws_iam_role;aws_s3_bucket;aws_s3_bucket;aws_s3_bucket_versioning;aws_s3_bucket_server_side_encryption_configuration;aws_ses_event_destination;aws_ses_event_destination;aws_iam_role_policy;aws_sns_topic;aws_sns_topic;aws_sns_topic;null_resource;aws_lambda_function;aws_s3_bucket_public_access_block;aws_s3_bucket_public_access_block,0,0,0,0,0,100.0,100.0,,,62,26,2,60,24,3.23,7.69,ses_receipt_rule_add_header_action;ses_receipt_rule_bounce_action;enable_ses_receipt_rule_set;ses_domain_mail_from_domain;enable_ses_domain_identity_verification;ses_event_destination_configuration_set_name;ses_event_destination_kinesis_destination;ses_receipt_rule_stop_action;enable_ses_event_destination;enable_ses_receipt_filter;ses_identity_policy_name;ses_configuration_set_delivery_options;ses_template_name;ses_domain_mail_from_mail_from_domain;ses_identity_notification_topic_identity;ses_receipt_rule_tls_policy;ses_domain_identity_verification_domain;ses_template_subject;ses_receipt_rule_lambda_action;ses_receipt_rule_rule_set_name;ses_receipt_filter_stack;ses_template_text;enable_ses_domain_identity;ses_identity_notification_topic_notification_type;ses_receipt_rule_name;ses_event_destination_matching_types;ses_event_destination_sns_destination;ses_receipt_rule_set_rule_set_name;ses_receipt_rule_enabled;enable_ses_domain_dkim;ses_receipt_rule_scan_enabled;enable_ses_receipt_rule;ses_domain_dkim_domain;ses_receipt_rule_workmail_action;ses_active_receipt_rule_set_rule_set_name;ses_identity_notification_topic_include_original_headers;ses_receipt_rule_recipients;enable_ses_template;ses_email_identity_emails;ses_event_destination_name;ses_template_html;ses_domain_mail_from_behavior_on_mx_failure;enable_ses_email_identity;enable_ses_configuration_set;ses_receipt_rule_s3_action;enable_ses_domain_mail_from;ses_configuration_set_name;enable_ses_active_receipt_rule_set;ses_configuration_set_reputation_metrics_enabled;ses_event_destination_enabled;ses_domain_identity_domains;ses_receipt_rule_sns_action;ses_identity_notification_topic_topic_arn;ses_receipt_rule_after;ses_identity_policy_identity;ses_event_destination_cloudwatch_destination;enable_ses_identity_notification_topic;ses_identity_policy_policy;enable_ses_identity_policy;ses_configuration_set_sending_enabled,enable_receipt_rule_set;enable_receipt_rule;enable_add_header_action;enable_email_identity;enable_event_destination_sns;enable_domain_verification;enable_workmail_action;enable_event_destination_kinesis;enable_stop_action;enable_domain_identity;email;enable_notification_topic;enable_identity_policy;enable_lambda_action;domain;enable_bounce_action;enable_sns_action;enable_s3_action;enable_event_destination_cloudwatch;enable_mail_from;enable_configuration_set;enable_template;enable_dkim;enable_receipt_filter,27,40,0,27,40,0.0,0.0,ses_event_destination_arn;ses_domain_identity_verification_id;ses_template_id;ses_identity_notification_topic_id;ses_receipt_rule_arn;ses_configuration_set_id;ses_domain_identity_id;ses_domain_identity_verification_arn;ses_active_receipt_rule_set_id;ses_template_arn;ses_event_destination_id;ses_identity_policy_id;ses_receipt_rule_set_id;ses_domain_identity_verification_token;ses_receipt_filter_id;ses_email_identity_id;ses_receipt_rule_id;ses_active_receipt_rule_set_arn;ses_domain_mail_from_id;ses_domain_dkim_dkim_tokens;ses_configuration_set_last_fresh_start;ses_email_identity_arn;ses_receipt_filter_arn;ses_domain_dkim_id;ses_receipt_rule_set_arn;ses_domain_identity_arn;ses_configuration_set_arn,mail_from_id;event_destination_cloudwatch_arn;mail_from_domain;receipt_rule_arn;receipt_filter_name;domain_dkim_tokens;template_name;notification_topic_bounce_arn;notification_topic_delivery_arn;event_destination_sns_name;email_identity_arn;event_destination_sns_id;event_destination_kinesis_arn;configuration_set_name;event_destination_cloudwatch_id;template_id;event_destination_cloudwatch_name;receipt_filter_id;identity_policy_name;identity_policy_id;template_arn;configuration_set_id;receipt_rule_set_arn;receipt_rule_set_id;domain_identity_id;domain_dkim_id;receipt_rule_id;domain_verification_verification_token;configuration_set_arn;domain_verification_id;receipt_filter_arn;event_destination_sns_arn;email_identity_id;domain_identity_verification_token;domain_identity_arn;receipt_rule_set_name;event_destination_kinesis_name;notification_topic_complaint_arn;receipt_rule_name;event_destination_kinesis_id
