row_index,ground_truth_path,matched,difficulty,template_empty,resource_req,resource_gen,resource_cor,resource_missing,resource_extra,resource_cov_pct,resource_acc_pct,resource_missing_list,resource_extra_list,data_req,data_gen,data_cor,data_missing,data_extra,data_cov_pct,data_acc_pct,data_missing_list,data_extra_list,variable_req,variable_gen,variable_cor,variable_missing,variable_extra,variable_cov_pct,variable_acc_pct,variable_missing_list,variable_extra_list,output_req,output_gen,output_cor,output_missing,output_extra,output_cov_pct,output_acc_pct,output_missing_list,output_extra_list
0,iac_benchmark/scenarios/terrads_202ad9eccfce,True,5,False,26,51,26,0,25,100.0,50.98,,aws_route;aws_route;aws_route;aws_route;aws_route;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule;aws_network_acl_rule,0,1,0,0,1,0.0,0.0,,aws_availability_zones,9,8,7,2,1,77.78,87.5,dns_resolvers;ssh_ip_addrs,ssh_ips,8,8,6,2,2,75.0,75.0,internal_dns_zone_id;ssh_securitygroup_id,home_ssh_security_group_id;private_dns_zone_id
1,iac_benchmark/scenarios/terrads_b86b0244fd6d,True,5,False,14,16,13,1,3,92.86,81.25,aws_transfer_server,aws_cloudwatch_log_group;aws_subnet;aws_vpc,1,2,0,1,2,0.0,0.0,aws_route53_zone,aws_iam_policy_document;aws_availability_zones,27,21,7,20,14,25.93,33.33,certificate_arn;api_gw_url;hosted_zone;function_arn;set_stat_option;logging_role;storage_type;sftp_users_ssh_key;sftp_users;name;passive_ip;sftp_sub_domain;sftp_type;invocation_role;cloudwatch_log_group_arns;endpoint_details;tls_session_resumption_mode;force_destroy;as2_transports;directory_id,as2_transport;vpc_id;api_gateway_url;subdomain;address_allocation_ids;logging_role_arn;server_name;cloudwatch_log_group_name;certificate;route53_zone_id;ssh_public_keys;subnet_ids;users;endpoint_type,6,6,1,5,5,16.67,16.67,id;sftp_eip;domain_name;arn;sftp_sg_id,security_group_id;elastic_ips;server_arn;server_id;custom_dns
2,iac_benchmark/scenarios/terrads_dc2f8b198974,True,2,False,3,9,3,0,6,100.0,33.33,,aws_s3_bucket_server_side_encryption_configuration;aws_kms_alias;aws_s3_bucket_public_access_block;aws_s3_bucket_versioning;aws_s3_bucket;aws_kms_key,0,1,0,0,1,0.0,0.0,,aws_caller_identity,20,14,5,15,9,25.0,35.71,athena_named_query_name;athena_workgroup_description;athena_workgroup_configuration;athena_database_encryption_configuration;athena_workgroup_force_destroy;athena_workgroup_name;athena_named_query_description;athena_named_query_query;athena_database_force_destroy;athena_database_bucket;athena_database_name;athena_named_query_workgroup;name;athena_workgroup_state;athena_named_query_database,kms_key_arn;named_query_name;publish_cloudwatch_metrics_enabled;name_prefix;workgroup_state;bytes_scanned_cutoff_per_query;named_query_description;query;workgroup_description,4,4,4,0,0,100.0,100.0,,
3,iac_benchmark/scenarios/terrads_78b2234acc8f,True,3,False,9,9,9,0,0,100.0,100.0,,,3,5,0,3,5,0.0,0.0,aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document,aws_iam_policy;aws_iam_policy;aws_iam_policy;aws_iam_policy;aws_iam_policy,2,2,2,0,0,100.0,100.0,,,12,12,0,12,12,0.0,0.0,ec2_instance_profile_name;ec2_role_arn;emr_role_name;ec2_autoscaling_role_unique_id;ec2_autoscaling_role_arn;emr_role_arn;ec2_instance_profile_arn;emr_role_unique_id;ec2_role_name;ec2_role_unique_id;ec2_autoscaling_role_name;ec2_instance_profile_id,emr_service_role_arn;emr_ec2_role_arn;emr_service_role_unique_id;emr_autoscaling_role_unique_id;emr_autoscaling_role_arn;emr_service_role_name;emr_ec2_instance_profile_id;emr_ec2_instance_profile_name;emr_ec2_role_unique_id;emr_ec2_instance_profile_arn;emr_autoscaling_role_name;emr_ec2_role_name
5,iac_benchmark/scenarios/terrads_03d965f3bc67,True,1,False,2,2,2,0,0,100.0,100.0,,,2,2,1,1,1,50.0,50.0,aws_iam_policy_document,aws_region,1,1,0,1,1,0.0,0.0,alias,kms_key_alias,2,2,1,1,1,50.0,50.0,cmk_alias,cmk_alias_name
6,iac_benchmark/scenarios/terrads_5ba7cf5050e6,True,1,False,2,3,1,1,2,50.0,33.33,aws_iam_role_policy,aws_iam_role_policy_attachment;aws_iam_policy,0,2,0,0,2,0.0,0.0,,aws_iam_policy_document;aws_iam_policy_document,1,1,1,0,0,100.0,100.0,,,0,0,0,0,0,100.0,100.0,,
7,iac_benchmark/scenarios/terrads_7b39dda6d5f9,True,4,False,11,16,10,1,6,90.91,62.5,aws_iam_role_policy_attachment,aws_cloudwatch_event_target;aws_cloudwatch_event_target;aws_cloudwatch_event_target;aws_cloudwatch_event_rule;aws_cloudwatch_event_rule;aws_cloudwatch_event_rule,6,0,0,6,0,0.0,0.0,aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document;aws_iam_policy_document;aws_caller_identity;aws_partition,,35,10,2,33,8,5.71,20.0,iam_role_name;iam_role_description;iam_role_tags;irsa_tag_key;irsa_permissions_boundary_arn;irsa_description;create;irsa_path;irsa_ssm_parameter_arns;irsa_name;create_iam_role;enable_spot_termination;iam_role_attach_cni_policy;queue_kms_data_key_reuse_period_seconds;iam_role_use_name_prefix;queue_name;iam_role_permissions_boundary;tags;iam_role_additional_policies;create_irsa;irsa_namespace_service_accounts;iam_role_arn;irsa_max_session_duration;iam_role_max_session_duration;queue_kms_master_key_id;create_instance_profile;queue_managed_sse_enabled;irsa_use_name_prefix;irsa_assume_role_condition_test;irsa_oidc_provider_arn;irsa_subnet_account_id;irsa_tags;iam_role_path,create_node_role;create_instance_state_change_rule;oidc_provider_arn;create_spot_interruption_rule;create_irsa_role;extra_node_policy_arns;create_rebalance_rule;create_health_event_rule,14,12,3,11,9,21.43,25.0,queue_name;instance_profile_id;role_name;queue_url;queue_arn;instance_profile_unique;irsa_arn;irsa_name;irsa_unique_id;role_unique_id;role_arn,irsa_role_arn;instance_profile_unique_id;sqs_queue_arn;node_role_unique_id;sqs_queue_url;irsa_role_unique_id;node_role_name;irsa_role_name;node_role_arn
8,iac_benchmark/scenarios/gh_3ec69cfa,True,3,False,4,11,4,0,7,100.0,36.36,,aws_subnet;aws_security_group;aws_kms_alias;aws_route_table_association;aws_vpc;aws_route_table;aws_kms_key,0,3,0,0,3,0.0,0.0,,aws_region;aws_caller_identity;aws_availability_zones,25,16,2,23,14,8.0,12.5,enable_efs_access_point;efs_access_point_root_directory;efs_mount_target_subnet_ids;enable_efs_file_system_policy;enable_efs_file_system;efs_file_system_performance_mode;efs_mount_target_file_system_id;name;efs_file_system_throughput_mode;efs_access_point_posix_user;efs_mount_target_ip_address;efs_access_point_name;efs_file_system_provisioned_throughput_in_mibps;efs_file_system_encrypted;efs_file_system_policy_policy;efs_mount_target_security_groups;efs_file_system_lifecycle_policy;efs_file_system_creation_token;enable_efs_mount_target;efs_file_system_name;efs_file_system_policy_file_system_id;efs_file_system_kms_key_id;efs_access_point_file_system_id,mount_target_ips;vpc_cidr;performance_mode;name_prefix;lifecycle_policies;create_file_system_policy;file_system_policy_json;access_point_posix_user;create_mount_targets;create_access_point;enable_encryption;provisioned_throughput_in_mibps;access_point_root_directory;throughput_mode,16,14,0,16,14,0.0,0.0,efs_file_system_policy_id;efs_mount_target_mount_target_dns_name;efs_file_system_dns_name;efs_access_point_id;efs_mount_target_id;efs_mount_target_dns_name;efs_mount_target_network_interface_id;efs_file_system_id;efs_mount_target_availability_zone_id;efs_access_point_arn;efs_mount_target_owner_id;efs_mount_target_availability_zone_name;efs_access_point_file_system_arn;efs_file_system_arn;efs_mount_target_file_system_arn;efs_file_system_kms_key_id,file_system_id;access_point_id;mount_target_ids;dns_name;access_point_arn;mount_target_dns_names;mount_target_network_interface_ids;file_system_policy_id;mount_target_owner_id;kms_key_id;access_point_file_system_arn;mount_target_availability_zone_name;file_system_arn;mount_target_availability_zone_id
9,iac_benchmark/scenarios/terrads_6ec75c3ea43a,True,3,False,10,10,10,0,0,100.0,100.0,,,0,0,0,0,0,100.0,100.0,,,19,9,1,18,8,5.26,11.11,vpc_cidr_block;public_sb_name;subnet_a_public;byoip_pool_name;subnet_c_public;subnet_b_public;subnet_b_cidr_block;subnet_a_name;route_tb_name;subnet_c_cidr_block;subnet_c_name;nat_gw_name;subnet_c_az;subnet_a_cidr_block;internetgw_name;subnet_a_az;subnet_b_az;subnet_b_name,eip_name;sg_name;nat_gateway_name;private_subnet_c_name;private_subnet_b_name;public_route_table_name;igw_name;public_subnet_a_name,1,1,0,1,1,0.0,0.0,nat_public_ip,nat_gateway_public_ip
10,iac_benchmark/scenarios/terrads_6f2cb595a46a,True,2,False,2,8,2,0,6,100.0,25.0,,random_id;aws_s3_bucket_server_side_encryption_configuration;aws_s3_bucket_public_access_block;aws_s3_bucket_object_lock_configuration;aws_s3_bucket_versioning;aws_kms_key,1,1,1,0,0,100.0,100.0,,,5,5,1,4,4,20.0,20.0,tags;bucket_force_destroy;bucket;bucket_object_lock_enabled,force_destroy;object_lock_default_retention;bucket_name;object_lock_enabled,2,2,2,0,0,100.0,100.0,,
