row_index,row_number,rego_passed,passed_rules,failed_rules,all_rule_names,terraform_error,opa_error
0,21,False,,is_valid_r53_zone;is_valid_r53_record;is_configuration_valid,is_valid_r53_zone;is_valid_r53_record;is_configuration_valid,,
1,22,False,,is_valid_r53_zone;is_valid_r53_record;is_configuration_valid,is_valid_r53_zone;is_valid_r53_record;is_configuration_valid,,
2,24,False,,is_valid_r53_zone;is_valid_r53_record;is_valid_iam_role;is_valid_iam_role_policy_attachment;is_valid_iam_instance_profile;is_valid_eb_app;is_valid_eb_env;is_valid_db_instance;has_required_main_db_arguments;is_configuration_valid,is_valid_r53_zone;is_valid_r53_record;is_valid_iam_role;is_valid_iam_role_policy_attachment;is_valid_iam_instance_profile;is_valid_eb_app;is_valid_eb_env;is_valid_db_instance;has_required_main_db_arguments;is_configuration_valid,,
3,29,False,,is_valid_eb_app;is_valid_eb_app_template;is_configuration_valid,is_valid_eb_app;is_valid_eb_app_template;is_configuration_valid,,
4,30,False,,is_valid_eb_app;is_configuration_valid,is_valid_eb_app;is_configuration_valid,,
5,31,False,,is_valid_eb_app;is_valid_iam_role;is_configuration_valid,is_valid_eb_app;is_valid_iam_role;is_configuration_valid,,
6,57,False,,has_valid_kinesis_stream;has_valid_kinesis_analytics_application;has_valid_resources;is_configuration_valid,has_valid_kinesis_stream;has_valid_kinesis_analytics_application;has_valid_resources,,
7,59,False,,has_valid_bucket;has_valid_firehose_delivery_stream;has_valid_resources;is_configuration_valid,has_valid_bucket;has_valid_firehose_delivery_stream;has_valid_resources,,
8,79,False,,is_valid_r53_zone;is_valid_r53_record;is_configuration_valid,is_valid_r53_zone;is_valid_r53_record;is_configuration_valid,,
9,80,False,,is_valid_vpc;is_valid_r53_zone;is_valid_r53_record;is_configuration_valid,is_valid_vpc;is_valid_r53_zone;is_valid_r53_record;is_configuration_valid,,
10,81,False,,is_valid_r53_zone;is_valid_r53_record_primary;is_valid_r53_record_secondary;is_valid_r53_health_check;is_configuration_valid,is_valid_r53_zone;is_valid_r53_record_primary;is_valid_r53_record_secondary;is_valid_r53_health_check;is_configuration_valid,,
11,84,False,,is_valid_r53_zone;is_valid_r53_record_na;is_valid_r53_record_eu;is_configuration_valid,is_valid_r53_zone;is_valid_r53_record_na;is_valid_r53_record_eu;is_configuration_valid,,
12,85,False,,is_valid_r53_zone;is_valid_r53_record_na;is_valid_r53_record_eu;is_configuration_valid,is_valid_r53_zone;is_valid_r53_record_na;is_valid_r53_record_eu;is_configuration_valid,,
13,86,False,,is_valid_r53_traffic_policy;is_configuration_valid,is_valid_r53_traffic_policy;is_configuration_valid,,
14,97,False,,has_aws_eks_identity_provider_config_example;is_configuration_valid,has_aws_eks_identity_provider_config_example,,
15,125,False,,ami_latest_amazon_linux_2;is_configuration_valid,ami_latest_amazon_linux_2,,
16,126,False,,allow;is_configuration_valid,allow,,
17,134,False,,allow;is_configuration_valid,allow,,
18,135,False,,allow;is_configuration_valid,allow,,
19,136,False,,allow;is_configuration_valid,allow,,
20,137,False,,allow;is_configuration_valid,allow,,
21,138,False,,allow;is_configuration_valid,allow,,
22,139,False,,allow;is_configuration_valid,allow,,
23,140,False,,allow;is_configuration_valid,allow,,
24,144,False,,allow;is_configuration_valid,allow,,
25,160,False,,allow;is_configuration_valid,allow,,
26,161,False,,allow;is_configuration_valid,allow,,
27,162,False,,allow;is_configuration_valid,allow,,
28,166,False,,allow;is_configuration_valid,allow,,
29,167,False,,allow;is_configuration_valid,allow,,
30,172,False,,allow;is_configuration_valid,allow,,
31,173,False,,allow;is_configuration_valid,allow,,
32,179,False,,allow;is_configuration_valid,allow,,
33,180,False,,allow;is_configuration_valid,allow,,
34,182,False,,allow;is_configuration_valid,allow,,
35,184,False,,allow;is_configuration_valid,allow,,
36,188,False,,allow;aws_instances;is_configuration_valid,allow;aws_instances,,
37,195,False,,allow;is_configuration_valid,allow,,
38,196,False,,allow;is_configuration_valid,allow,,
