row_index,run_id,trivy_passed,total_checks,total_passed,total_failed,severity_critical,severity_high,severity_medium,severity_low,severity_unknown,passed_check_ids,failed_check_ids,all_check_ids,error
0,20260607_195405_a05629f1,True,26,26,0,0,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0095;AWS-0123;AWS-0133;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0095;AWS-0123;AWS-0133;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
1,20260607_195515_66e88ca9,False,45,42,3,0,0,1,2,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346,AWS-0124;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346;AWS-0124;AWS-0178,
2,20260607_200031_c2a3f5c2,False,44,42,2,0,0,1,1,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346,AWS-0124;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346;AWS-0124;AWS-0178,
3,20260607_200231_682d089b,False,25,24,1,0,0,0,1,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,AWS-0017,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346;AWS-0017,
4,20260607_200349_7f189e08,False,48,44,4,0,0,2,2,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0037;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0095;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0133;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346,AWS-0105;AWS-0124;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0037;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0095;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0133;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346;AWS-0105;AWS-0124;AWS-0178,
5,20260607_201222_d93b485c,False,61,47,14,0,0,5,9,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0047;AWS-0052;AWS-0054;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0078;AWS-0079;AWS-0080;AWS-0086;AWS-0087;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0099;AWS-0101;AWS-0102;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0132;AWS-0140;AWS-0141;AWS-0143;AWS-0180;AWS-0320;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346,AWS-0077;AWS-0089;AWS-0090;AWS-0098;AWS-0124;AWS-0133;AWS-0176;AWS-0177;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0047;AWS-0052;AWS-0054;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0078;AWS-0079;AWS-0080;AWS-0086;AWS-0087;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0099;AWS-0101;AWS-0102;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0132;AWS-0140;AWS-0141;AWS-0143;AWS-0180;AWS-0320;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346;AWS-0077;AWS-0089;AWS-0090;AWS-0098;AWS-0124;AWS-0133;AWS-0176;AWS-0177;AWS-0178,
6,20260607_202557_e0351ead,False,45,39,6,0,0,3,3,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0078;AWS-0079;AWS-0080;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346,AWS-0077;AWS-0098;AWS-0124;AWS-0133;AWS-0176;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0078;AWS-0079;AWS-0080;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346;AWS-0077;AWS-0098;AWS-0124;AWS-0133;AWS-0176;AWS-0178,
7,20260607_202834_398a6341,False,57,54,3,0,0,1,2,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0086;AWS-0087;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0096;AWS-0097;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0132;AWS-0133;AWS-0135;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0176;AWS-0177;AWS-0180;AWS-0320;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346,AWS-0089;AWS-0124;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0086;AWS-0087;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0096;AWS-0097;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0132;AWS-0133;AWS-0135;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0176;AWS-0177;AWS-0180;AWS-0320;AWS-0342;AWS-0343;AWS-0344;AWS-0345;AWS-0346;AWS-0089;AWS-0124;AWS-0178,
8,20260607_205003_7d1c78ab,True,27,27,0,0,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0064;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0095;AWS-0123;AWS-0133;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0064;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0095;AWS-0123;AWS-0133;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
9,20260607_205150_4ad44707,True,24,24,0,0,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
