row_index,run_id,trivy_passed,total_checks,total_passed,total_failed,severity_critical_eval,severity_critical_passed,severity_critical_failed,severity_high_eval,severity_high_passed,severity_high_failed,severity_medium_eval,severity_medium_passed,severity_medium_failed,severity_low_eval,severity_low_passed,severity_low_failed,severity_unknown_eval,severity_unknown_passed,severity_unknown_failed,passed_check_ids,failed_check_ids,all_check_ids,error
0,20260827_154051_6203982b,True,24,24,0,1,1,0,6,6,0,13,13,0,4,4,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
1,20260827_154321_0e5d4da3,True,24,24,0,1,1,0,6,6,0,13,13,0,4,4,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
2,20260827_155141_a83bbc1b,False,35,33,2,1,1,0,13,13,0,15,14,1,6,5,1,0,0,0,AWS-0018;AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0086;AWS-0087;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0123;AWS-0132;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0320;AWS-0342;AWS-0343;AWS-0345;AWS-0346,AWS-0089;AWS-0090,AWS-0018;AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0086;AWS-0087;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0123;AWS-0132;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0320;AWS-0342;AWS-0343;AWS-0345;AWS-0346;AWS-0089;AWS-0090,
3,20260827_122623_c71fbbf6,True,34,34,0,1,1,0,12,12,0,15,15,0,6,6,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0086;AWS-0087;AWS-0089;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0123;AWS-0132;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0320;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0086;AWS-0087;AWS-0089;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0123;AWS-0132;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0320;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
4,20260827_210342_8fc41238,True,24,24,0,1,1,0,6,6,0,13,13,0,4,4,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
5,20260826_225314_7ad82d15,False,27,25,2,2,2,0,6,6,0,13,13,0,6,4,2,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0067;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,AWS-0066;AWS-0098,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0067;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346;AWS-0066;AWS-0098,
6,20260827_213104_d3cd1403,True,25,25,0,1,1,0,7,7,0,13,13,0,4,4,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0064;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0064;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
7,20260831_123422_7d70ef5e,False,28,27,1,1,1,0,9,9,0,13,13,0,5,4,1,0,0,0,AWS-0019;AWS-0030;AWS-0031;AWS-0032;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,AWS-0033,AWS-0019;AWS-0030;AWS-0031;AWS-0032;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346;AWS-0033,
8,20260826_233329_a575077a,True,24,24,0,1,1,0,6,6,0,13,13,0,4,4,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,
9,20260831_130649_ae2bf77c,False,25,24,1,1,1,0,6,6,0,13,13,0,5,4,1,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346,AWS-0017,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0077;AWS-0078;AWS-0079;AWS-0080;AWS-0123;AWS-0133;AWS-0140;AWS-0141;AWS-0143;AWS-0176;AWS-0177;AWS-0180;AWS-0342;AWS-0343;AWS-0345;AWS-0346;AWS-0017,
