row_index,run_id,trivy_passed,total_checks,total_passed,total_failed,severity_critical,severity_high,severity_medium,severity_low,severity_unknown,passed_check_ids,failed_check_ids,all_check_ids,error
0,20260801_141119_f1070551,False,78,68,10,0,0,6,4,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,AWS-0105;AWS-0124;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076;AWS-0105;AWS-0124;AWS-0178,
1,20260801_142004_7ff60ca1,False,52,51,1,0,0,0,1,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,AWS-0017,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076;AWS-0017,
2,20260801_145351_464738fb,False,64,63,1,0,0,0,1,0,AWS-0006;AWS-0007;AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0086;AWS-0087;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0123;AWS-0132;AWS-0140;AWS-0141;AWS-0143;AWS-0320;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,AWS-0089,AWS-0006;AWS-0007;AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0086;AWS-0087;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0123;AWS-0132;AWS-0140;AWS-0141;AWS-0143;AWS-0320;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076;AWS-0089,
3,20260801_152238_4ec0f799,True,51,51,0,0,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,
4,20260801_152614_fd34d1ef,True,51,51,0,0,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,
5,20260801_152829_45b809ba,False,52,51,1,0,0,1,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,AWS-0065,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076;AWS-0065,
6,20260801_153307_e1e2a804,False,51,50,1,0,0,1,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,AWS-0342,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076;AWS-0342,
7,20260801_153610_21ba9029,False,54,53,1,0,0,1,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0096;AWS-0097;AWS-0123;AWS-0135;AWS-0140;AWS-0141;AWS-0143;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,AWS-0342,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0096;AWS-0097;AWS-0123;AWS-0135;AWS-0140;AWS-0141;AWS-0143;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076;AWS-0342,
8,20260801_155042_b9cce2d8,False,74,71,3,0,0,1,2,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0037;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,AWS-0124;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0037;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076;AWS-0124;AWS-0178,
9,20260801_155930_79aa1f00,False,71,70,1,0,0,1,0,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076,AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AZU-0007;AZU-0008;AZU-0009;AZU-0010;AZU-0011;AZU-0012;AZU-0056;AZU-0057;AZU-0058;AZU-0059;AZU-0060;AZU-0061;GCP-0027;GCP-0029;GCP-0030;GCP-0031;GCP-0032;GCP-0033;GCP-0034;GCP-0035;GCP-0036;GCP-0037;GCP-0039;GCP-0041;GCP-0042;GCP-0043;GCP-0044;GCP-0045;GCP-0067;GCP-0070;GCP-0071;GCP-0072;GCP-0073;GCP-0074;GCP-0075;GCP-0076;AWS-0178,
