row_number,ground_truth_path,run_id,status,final_validation_passed,iterations_used,llm_calls_total,token_all_tokens,token_input_tokens,token_output_tokens,token_prompt_tokens,token_completion_tokens,scenario_policy_pass_rate,filtered_compliance_rate,unfiltered_compliance_rate,duration_seconds,error_message,error_traceback,policy_total_policies,policy_passed_policies,final_template,deploy_target,deploy_passed,deploy_stack_id,deploy_error_message,deploy_logs,deploy_duration_seconds,deploy_failed_resources,deploy_completed_resources,total_yaml_errors,total_cfn_lint_errors,total_security_errors,all_yaml_errors,all_cfn_lint_errors,all_security_errors,latest_error_yaml,latest_error_cfn-lint,latest_error_trivy,val_stage_yaml_passed,val_stage_cfn-lint_passed,val_stage_trivy_passed
0,Data\groud_truth\template\sqs_easy.yaml,20260427_163601_b81ceb42,ok,True,2,5,10863,0,0,6984,3879,1.0,1.0,1.0,180.911,,,,,,,,,,,,,,,,,,,,,,,,,
1,Data\groud_truth\template\sns_easy.yaml,20260427_163902_c07fcd2a,ok,True,1,2,4335,0,0,2595,1740,1.0,1.0,1.0,77.386,,,,,,,,,,,,,,,,,,,,,,,,,
2,Data\groud_truth\template\s3_easy.yaml,20260427_164020_5de49b0f,ok,True,8,23,108267,0,0,69094,39173,1.0,1.0,1.0,548.191,,,,,,,,,,,,,,,,,,,,,,,,,
3,Data\groud_truth\template\s3_webhost_and_deletion_policy.yaml,20260427_164928_77d5ab5c,ok,True,3,8,35223,0,0,18129,17094,1.0,1.0,1.0,764.415,,,,,,,,,,,,,,,,,,,,,,,,,
4,Data\groud_truth\template\ec2_easy.yaml,20260427_170212_d1b01ead,ok,True,4,10,54421,0,0,34290,20131,1.0,1.0,1.0,268.668,,,,,,,,,,,,,,,,,,,,,,,,,
5,Data\groud_truth\template\DynamoDB_easy.yaml,20260427_170641_5aca95ba,ok,True,3,8,24777,0,0,13809,10968,1.0,1.0,1.0,440.772,,,,,,,,,,,,,,,,,,,,,,,,,
6,Data\groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,20260427_171402_4380e192,ok,True,3,8,50935,0,0,29185,21750,1.0,1.0,1.0,465.21,,,,,,,,,,,,,,,,,,,,,,,,,
7,Data\groud_truth\template\virtualmachine.yaml,20260427_172147_2a964aaa,ok,True,2,5,28509,0,0,14854,13655,1.0,1.0,1.0,417.591,,,,,,,,,,,,,,,,,,,,,,,,,
8,Data\groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,20260427_172845_1d49abe2,ok,True,3,8,44743,0,0,20861,23882,1.0,1.0,1.0,185.656,,,,,,,,,,,,,,,,,,,,,,,,,
9,Data\groud_truth\template\EFS_encrypted_one_zone.yaml,20260427_173150_c02ddabd,ok,True,3,8,19501,0,0,12335,7166,1.0,1.0,1.0,69.025,,,,,,,,,,,,,,,,,,,,,,,,,
