resource_type,service,n_properties,n_property_types,n_required,required_properties,out_degree,in_degree
AWS::ACMPCA::Certificate,ACMPCA,7,14,4,CertificateAuthorityArn|Validity|CertificateSigningRequest|SigningAlgorithm,21,0
AWS::ACMPCA::CertificateAuthority,ACMPCA,9,13,4,Type|SigningAlgorithm|Subject|KeyAlgorithm,22,0
AWS::ACMPCA::CertificateAuthorityActivation,ACMPCA,4,0,2,CertificateAuthorityArn|Certificate,4,0
AWS::ACMPCA::Permission,ACMPCA,4,0,3,CertificateAuthorityArn|Actions|Principal,4,0
AWS::AIOps::InvestigationGroup,AIOps,10,3,1,Name,13,0
AWS::APS::AnomalyDetector,APS,7,5,3,Configuration|Alias|Workspace,12,0
AWS::APS::ResourcePolicy,APS,2,0,2,WorkspaceArn|PolicyDocument,2,0
AWS::APS::RuleGroupsNamespace,APS,4,0,3,Data|Workspace|Name,4,0
AWS::APS::Scraper,APS,7,12,3,ScrapeConfiguration|Destination|Source,19,0
AWS::APS::Workspace,APS,7,9,0,,16,0
AWS::ARCRegionSwitch::Plan,ARCRegionSwitch,12,34,5,Workflows|Regions|RecoveryApproach|ExecutionRole|Name,46,0
AWS::ARCZonalShift::AutoshiftObserverNotificationStatus,ARCZonalShift,1,0,1,Status,1,0
AWS::ARCZonalShift::ZonalAutoshiftConfiguration,ARCZonalShift,3,2,1,ResourceIdentifier,5,0
AWS::AccessAnalyzer::Analyzer,AccessAnalyzer,5,9,1,Type,14,0
AWS::AmazonMQ::Broker,AmazonMQ,20,7,5,HostInstanceType|BrokerName|DeploymentMode|EngineType|PubliclyAccessible,27,0
AWS::AmazonMQ::Configuration,AmazonMQ,7,1,2,EngineType|Name,8,0
AWS::AmazonMQ::ConfigurationAssociation,AmazonMQ,2,1,2,Broker|Configuration,3,0
AWS::Amplify::App,Amplify,18,6,1,Name,24,0
AWS::Amplify::Branch,Amplify,16,3,2,AppId|BranchName,19,0
AWS::Amplify::Domain,Amplify,7,3,3,SubDomainSettings|AppId|DomainName,10,0
AWS::AmplifyUIBuilder::Component,AmplifyUIBuilder,14,14,0,,28,0
AWS::AmplifyUIBuilder::Form,AmplifyUIBuilder,12,17,0,,29,0
AWS::AmplifyUIBuilder::Theme,AmplifyUIBuilder,6,2,0,,8,0
AWS::ApiGateway::Account,ApiGateway,1,0,0,,1,0
AWS::ApiGateway::ApiKey,ApiGateway,8,1,0,,9,0
AWS::ApiGateway::Authorizer,ApiGateway,10,0,3,Type|RestApiId|Name,10,0
AWS::ApiGateway::BasePathMapping,ApiGateway,5,0,1,DomainName,5,0
AWS::ApiGateway::BasePathMappingV2,ApiGateway,4,0,2,DomainNameArn|RestApiId,4,0
AWS::ApiGateway::ClientCertificate,ApiGateway,2,0,0,,2,0
AWS::ApiGateway::Deployment,ApiGateway,5,5,1,RestApiId,10,0
AWS::ApiGateway::DocumentationPart,ApiGateway,3,1,3,RestApiId|Properties|Location,4,0
AWS::ApiGateway::DocumentationVersion,ApiGateway,3,0,2,DocumentationVersion|RestApiId,3,0
AWS::ApiGateway::DomainName,ApiGateway,10,2,0,,12,0
AWS::ApiGateway::DomainNameAccessAssociation,ApiGateway,4,0,3,DomainNameArn|AccessAssociationSource|AccessAssociationSourceType,4,0
AWS::ApiGateway::DomainNameV2,ApiGateway,8,1,0,,9,0
AWS::ApiGateway::GatewayResponse,ApiGateway,5,0,2,RestApiId|ResponseType,5,0
AWS::ApiGateway::Method,ApiGateway,13,3,3,RestApiId|ResourceId|HttpMethod,16,0
AWS::ApiGateway::Model,ApiGateway,5,0,1,RestApiId,5,0
AWS::ApiGateway::RequestValidator,ApiGateway,4,0,1,RestApiId,4,0
AWS::ApiGateway::Resource,ApiGateway,3,0,3,ParentId|PathPart|RestApiId,3,0
AWS::ApiGateway::RestApi,ApiGateway,17,2,0,,19,0
AWS::ApiGateway::Stage,ApiGateway,14,3,1,RestApiId,17,0
AWS::ApiGateway::UsagePlan,ApiGateway,6,3,0,,9,0
AWS::ApiGateway::UsagePlanKey,ApiGateway,3,0,3,KeyType|UsagePlanId|KeyId,3,0
AWS::ApiGateway::VpcLink,ApiGateway,4,0,2,TargetArns|Name,4,0
AWS::ApiGatewayV2::Api,ApiGatewayV2,18,2,0,,20,0
AWS::ApiGatewayV2::ApiGatewayManagedOverrides,ApiGatewayV2,4,5,1,ApiId,9,0
AWS::ApiGatewayV2::ApiMapping,ApiGatewayV2,4,0,3,DomainName|Stage|ApiId,4,0
