check_id,check_name,source_file_url,source_code
CKV_AWS_100,Ensure AWS EKS node group does not have implicit SSH access from 0.0.0.0/0,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/EKSNodeGroupRemoteAccess.py,"from __future__ import annotations

from typing import Any

from checkov.common.models.enums import CheckResult, CheckCategories
from checkov.cloudformation.checks.resource.base_resource_check import BaseResourceCheck


class EKSNodeGroupRemoteAccess(BaseResourceCheck):
    def __init__(self) -> None:
        name = ""Ensure AWS EKS node group does not have implicit SSH access from 0.0.0.0/0""
        id = ""CKV_AWS_100""
        supported_resources = ('AWS::EKS::Nodegroup',)
        categories = (CheckCategories.KUBERNETES,)
        super().__init__(name=name, id=id, categories=categories, supported_resources=supported_resources)

    def scan_resource_conf(self, conf: dict[str, Any]) -> CheckResult:
        if 'Properties' in conf.keys():
            if 'RemoteAccess' in conf['Properties'].keys():
                if 'Ec2SshKey' in conf['Properties']['RemoteAccess'].keys():
                    if 'SourceSecurityGroups' in conf['Properties']['RemoteAccess'].keys():
                        return CheckResult.PASSED
                    else:
                        return CheckResult.FAILED
        return CheckResult.PASSED

    def get_evaluated_keys(self) -> list[str]:
        return [""Properties/RemoteAccess/Ec2SshKey"", ""Properties/RemoteAccess/SourceSecurityGroups""]


check = EKSNodeGroupRemoteAccess()
"
CKV_AWS_101,Ensure Neptune logging is enabled,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/NeptuneClusterLogging.py,"from __future__ import annotations

from typing import Any

from checkov.cloudformation.checks.resource.base_resource_check import BaseResourceCheck
from checkov.common.models.enums import CheckResult, CheckCategories


class NeptuneClusterLogging(BaseResourceCheck):
    def __init__(self) -> None:
        name = ""Ensure Neptune logging is enabled""
        id = ""CKV_AWS_101""
        supported_resources = (""AWS::Neptune::DBCluster"",)
        categories = (CheckCategories.LOGGING,)
        super().__init__(name=name, id=id, categories=categories, supported_resources=supported_resources)

    def scan_resource_conf(self, conf: dict[str, Any]) -> CheckResult:
        logs_exports = conf.get(""Properties"", {}).get(""EnableCloudwatchLogsExports"", [])
        if ""audit"" in logs_exports:
            return CheckResult.PASSED

        return CheckResult.FAILED

    def get_evaluated_keys(self) -> list[str]:
        return [""Properties/EnableCloudwatchLogsExports""]


check = NeptuneClusterLogging()
"
CKV_AWS_103,Ensure that Load Balancer Listener is using at least TLS v1.2,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/ALBListenerTLS12.py,"from __future__ import annotations

from typing import Any, List

from checkov.common.models.enums import CheckResult, CheckCategories
from checkov.cloudformation.checks.resource.base_resource_check import BaseResourceCheck
from checkov.common.util.type_forcers import force_list
from checkov.cloudformation.parser.cfn_keywords import ConditionFunctions, IntrinsicFunctions

supported_policy_prefixes = {
    # ALBs support TLS v1.2 and 1.3
    'HTTPS': (""ELBSecurityPolicy-FS-1-2"", ""ELBSecurityPolicy-TLS-1-2"", ""ELBSecurityPolicy-TLS13-1-2"",
              ""ELBSecurityPolicy-TLS13-1-3""),
    # NLBs support TLS v1.2 and 1.3
    'TLS': (""ELBSecurityPolicy-TLS13-1-3-2021-06"", ""ELBSecurityPolicy-TLS13-1-2"", ""ELBSecurityPolicy-FS-1-2"",
            ""ELBSecurityPolicy-TLS-1-2"")
}


class ALBListenerTLS12(BaseResourceCheck):
    def __init__(self) -> None:
        name = ""Ensure that Load Balancer Listener is using at least TLS v1.2""
        id = ""CKV_AWS_103""
        supported_resources = ('AWS::ElasticLoadBalancingV2::Listener',)
        categories = (CheckCategories.GENERAL_SECURITY,)
        super().__init__(name=name, id=id, categories=categories, supported_resources=supported_resources)

    def scan_resource_conf(self, conf: dict[str, Any]) -> CheckResult:
        """"""
            validates that ElasticLoadBalancing V2 Listener is using at least TLS v1.2
            https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-resource-elasticloadbalancingv2-listener.html
      "
CKV_AWS_104,Ensure DocumentDB has audit logs enabled,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/DocDBAuditLogs.py,"from typing import Any, List

from checkov.cloudformation.checks.resource.base_resource_value_check import BaseResourceValueCheck
from checkov.common.models.enums import CheckCategories


class DocDBAuditLogs(BaseResourceValueCheck):
    def __init__(self) -> None:
        name = ""Ensure DocumentDB has audit logs enabled""
        id = ""CKV_AWS_104""
        supported_resources = [""AWS::DocDB::DBClusterParameterGroup""]
        categories = [CheckCategories.LOGGING]
        super().__init__(name=name, id=id, categories=categories, supported_resources=supported_resources)

    def get_inspected_key(self) -> str:
        return ""Properties/Parameters/audit_logs""

    def get_expected_values(self) -> List[Any]:
        return [""all"", ""ddl"", ""dml_read"", ""dml_write"", ""enabled""]


check = DocDBAuditLogs()
"
CKV_AWS_105,Ensure Redshift uses SSL,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/RedShiftSSL.py,"from typing import List

from checkov.cloudformation.checks.resource.base_resource_check import BaseResourceCheck
from checkov.common.parsers.node import DictNode
from checkov.common.models.enums import CheckCategories, CheckResult


class RedShiftSSL(BaseResourceCheck):
    def __init__(self) -> None:
        name = ""Ensure Redshift uses SSL""
        id = ""CKV_AWS_105""
        supported_resources = [""AWS::Redshift::ClusterParameterGroup""]
        categories = [CheckCategories.ENCRYPTION]
        super().__init__(name=name, id=id, categories=categories, supported_resources=supported_resources)

    def scan_resource_conf(self, conf: DictNode) -> CheckResult:
        params = conf.get(""Properties"", {}).get(""Parameters"", {})

        for param in params:
            if param.get(""ParameterName"") == ""require_ssl"":
                value = param.get(""ParameterValue"")
                if isinstance(value, bool):
                    value = str(value).lower()
                if value == ""true"":
                    return CheckResult.PASSED

        return CheckResult.FAILED

    def get_evaluated_keys(self) -> List[str]:
        return ['Properties', 'Properties/Parameters']


check = RedShiftSSL()
"
CKV_AWS_107,Ensure IAM policies does not allow credentials exposure,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/IAMCredentialsExposure.py,"from __future__ import annotations

from typing import TYPE_CHECKING

from checkov.cloudformation.checks.resource.BaseCloudsplainingIAMCheck import BaseCloudsplainingIAMCheck

if TYPE_CHECKING:
    from cloudsplaining.scan.policy_document import PolicyDocument


class cloudsplainingCredentialsExposure(BaseCloudsplainingIAMCheck):
    excluded_actions = {  # noqa: CCE003  # a static attribute
        ""ecr:GetAuthorizationToken""
    }

    def __init__(self) -> None:
        name = ""Ensure IAM policies does not allow credentials exposure""
        id = ""CKV_AWS_107""
        super().__init__(name=name, id=id)

    def cloudsplaining_analysis(self, policy: PolicyDocument) -> list[str]:
        credentials_exposure_actions = policy.credentials_exposure
        return [
            x for x in credentials_exposure_actions
            if x not in cloudsplainingCredentialsExposure.excluded_actions
        ]


check = cloudsplainingCredentialsExposure()
"
CKV_AWS_108,Ensure IAM policies does not allow data exfiltration,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/IAMDataExfiltration.py,"from checkov.cloudformation.checks.resource.BaseCloudsplainingIAMCheck import BaseCloudsplainingIAMCheck


class cloudsplainingDataExfiltration(BaseCloudsplainingIAMCheck):

    def __init__(self):
        name = ""Ensure IAM policies does not allow data exfiltration""
        id = ""CKV_AWS_108""
        super().__init__(name=name, id=id)

    def cloudsplaining_analysis(self, policy):
        return policy.allows_data_exfiltration_actions


check = cloudsplainingDataExfiltration()
"
CKV_AWS_109,Ensure IAM policies does not allow permissions management without constraints,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/IAMPermissionsManagement.py,"from checkov.cloudformation.checks.resource.BaseCloudsplainingIAMCheck import BaseCloudsplainingIAMCheck


class cloudsplainingPermissionsManagement(BaseCloudsplainingIAMCheck):

    def __init__(self):
        name = ""Ensure IAM policies does not allow permissions management without constraints""
        id = ""CKV_AWS_109""
        super().__init__(name=name, id=id)

    def cloudsplaining_analysis(self, policy):
        return policy.permissions_management_without_constraints


check = cloudsplainingPermissionsManagement()
"
CKV_AWS_110,Ensure IAM policies does not allow privilege escalation,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/IAMPrivilegeEscalation.py,"from checkov.cloudformation.checks.resource.BaseCloudsplainingIAMCheck import BaseCloudsplainingIAMCheck


class cloudsplainingPrivilegeEscalation(BaseCloudsplainingIAMCheck):

    def __init__(self):
        name = ""Ensure IAM policies does not allow privilege escalation""
        id = ""CKV_AWS_110""
        super().__init__(name=name, id=id)

    def cloudsplaining_analysis(self, policy):
        escalations = policy.allows_privilege_escalation
        flattened_escalations: list[str] = []
        if escalations:
            for escalation in escalations:
                if isinstance(escalation, dict):
                    flattened_escalations.extend(escalation.get('actions'))
                else:
                    flattened_escalations.append(escalation)
        return flattened_escalations


check = cloudsplainingPrivilegeEscalation()
"
CKV_AWS_111,Ensure IAM policies does not allow write access without constraints,https://raw.githubusercontent.com/bridgecrewio/checkov/main/checkov/cloudformation/checks/resource/aws/IAMWriteAccess.py,"from checkov.cloudformation.checks.resource.BaseCloudsplainingIAMCheck import BaseCloudsplainingIAMCheck


class cloudsplainingWriteAccess(BaseCloudsplainingIAMCheck):

    def __init__(self):
        name = ""Ensure IAM policies does not allow write access without constraints""
        id = ""CKV_AWS_111""
        super().__init__(name=name, id=id)

    def cloudsplaining_analysis(self, policy):
        return policy.write_actions_without_constraints


check = cloudsplainingWriteAccess()
"
