timestamp,llm_type,llm_model,template_path,row_number,iteration_number,error_stage,stage_attempt_count,next_feedback_level,error_message,resource_name
2026-03-28 02:00:36,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_1_template_20260328_020032.yaml,3,1,syntax_validation,0,moderate,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
2026-03-28 02:00:36,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_1_template_20260328_020032.yaml,3,1,syntax_validation,0,moderate,A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured,WebsiteBucket
2026-03-28 02:00:36,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_1_template_20260328_020032.yaml,3,1,syntax_validation,0,moderate,'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead,WebsiteBucket
2026-03-28 02:01:02,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_2_template_20260328_020036.yaml,3,2,syntax_validation,1,moderate,Circular Dependencies for resource WebsiteBucket. Circular dependency with [WebsiteBucket],WebsiteBucket
2026-03-28 02:01:02,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_2_template_20260328_020036.yaml,3,2,syntax_validation,1,moderate,Additional properties are not allowed ('BucketPolicy' was unexpected),WebsiteBucket
2026-03-28 02:03:30,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_5_update_1_template_20260328_020253.yaml,5,1,syntax_validation,0,moderate,Additional properties are not allowed ('ProvisionedThroughput'),ArtistConcertSalesTable
2026-03-28 02:05:03,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_6_update_1_template_20260328_020440.yaml,6,1,syntax_validation,0,moderate,'InstanceSecurityGroup' dependency already enforced by a 'Ref' at 'Resources/EC2Instance/Properties/SecurityGroupIds/0',EC2Instance
2026-03-28 02:05:29,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_6_update_2_template_20260328_020503.yaml,6,2,deployment,0,moderate,Resource provider operation failed: An error occurred (InvalidAMIID.NotFound) when calling the RunInstances operation: The image id 'ami-0c55b159cbfafe1f0' does not exist,EC2Instance
2026-03-28 02:05:29,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_6_update_2_template_20260328_020503.yaml,6,2,deployment,0,moderate,,validation-stack-1f15ddde
2026-03-28 02:05:29,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_6_update_2_template_20260328_020503.yaml,6,2,deployment,0,moderate,,validation-stack-1f15ddde
