timestamp,llm_type,llm_model,template_path,row_number,iteration_number,error_stage,stage_attempt_count,next_feedback_level,error_message,resource_name
2026-03-08 14:55:14,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_1_template_20260308_145454.yaml,3,1,syntax_validation,0,moderate,A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured,WebsiteBucket
2026-03-08 14:55:14,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_1_template_20260308_145454.yaml,3,1,syntax_validation,0,moderate,'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead,WebsiteBucket
2026-03-08 14:55:31,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_2_template_20260308_145514.yaml,3,2,syntax_validation,1,moderate,Circular Dependencies for resource WebsiteBucket. Circular dependency with [WebsiteBucket],WebsiteBucket
2026-03-08 14:55:31,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_2_template_20260308_145514.yaml,3,2,syntax_validation,1,moderate,Additional properties are not allowed ('BucketPolicy' was unexpected),WebsiteBucket
2026-03-08 14:57:22,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_4_update_1_template_20260308_145600.yaml,4,1,syntax_validation,0,moderate,{'Fn::Sub': 'resolve:ssm:/aws/service/ami-amazon-linux-latest/amzn2-ami-hvm-x86_64-gp2'} is not a 'AWS::EC2::Image.Id' with pattern '^ami-([0-9a-z]{8}|[0-9a-z]{17})$' when 'Fn::Sub' is resolved,EC2Instance
2026-03-08 14:57:50,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_4_update_2_template_20260308_145722.yaml,4,2,syntax_validation,1,moderate,'/aws/service/ami-amazon-linux-latest/amzn2-ami-hvm-x86_64-gp2' is not a 'AWS::EC2::Image.Id' with pattern '^ami-([0-9a-z]{8}|[0-9a-z]{17})$',EC2Instance
2026-03-08 14:58:36,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_4_update_3_template_20260308_145750.yaml,4,3,deployment,0,moderate,Resource provider operation failed: An error occurred (InvalidAMIID.NotFound) when calling the RunInstances operation: The image id 'ami-0c55b159cbfafe0f0' does not exist,EC2Instance
2026-03-08 14:58:36,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_4_update_3_template_20260308_145750.yaml,4,3,deployment,0,moderate,,validation-stack-070c30b2
2026-03-08 14:58:36,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_4_update_3_template_20260308_145750.yaml,4,3,deployment,0,moderate,,validation-stack-070c30b2
2026-03-08 14:59:26,deepseek,openrouter/arcee-ai/trinity-large-preview:free,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_4_update_4_template_20260308_145836.yaml,4,4,deployment,1,moderate,Resource provider operation failed: An error occurred (InvalidAMIID.NotFound) when calling the RunInstances operation: The image id 'ami-0c55b159cbfafe0f0' does not exist,EC2Instance
