timestamp,llm_type,llm_model,template_path,row_number,iteration_number,error_stage,stage_attempt_count,next_feedback_level,error_message,resource_name
17/2/2025 12:09,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_3_update_1_template_20250217_120945.yaml,3,1,syntax_validation,0,simple,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,S3Bucket
17/2/2025 12:10,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_3_update_2_template_20250217_120959.yaml,3,2,syntax_validation,1,simple,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
17/2/2025 12:10,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_3_update_2_template_20250217_120959.yaml,3,2,syntax_validation,1,simple,'WebsiteBucket' dependency already enforced by a 'Ref' at 'Resources/WebsiteBucketPolicy/Properties/Bucket',WebsiteBucketPolicy
17/2/2025 12:10,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_3_update_2_template_20250217_120959.yaml,3,2,syntax_validation,1,simple,'WebsiteBucket' dependency already enforced by a 'Ref' at 'Resources/WebsiteBucketPolicy/Properties/PolicyDocument/Statement/0/Resource/Fn::Join/1/1',WebsiteBucketPolicy
17/2/2025 12:10,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_3_update_3_template_20250217_121010.yaml,3,3,syntax_validation,2,moderate,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,Bucket
17/2/2025 12:10,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_3_update_4_template_20250217_121019.yaml,3,4,deployment,0,simple,"Resource handler returned message: ""User: arn:aws:iam::644519422710:user/tianyi_test is not authorized to perform: s3:PutBucketPolicy on resource: ""arn:aws:s3:::validation-stack-bbf87b20-bucket-uduyyl402gtk"" because public policies are blocked by the BlockPublicPolicy block public access setting. (Service: S3, Status Code: 403, Request ID: D9G2YW6QS1FF8C7N, Extended Request ID: ZCwzM06evAZzZq37El2ZbSPsfKRoVqKwDBx1iBUtzi3b9RYMtA0avByacq3kMuwl6rBQdRO7g30=)"" (RequestToken: fb5ea386-630c-8cb8-e1f7-6cc670680821, HandlerErrorCode: AccessDenied)",BucketPolicy
17/2/2025 12:10,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_3_update_5_template_20250217_121050.yaml,3,5,syntax_validation,3,moderate,A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured,WebsiteBucket
17/2/2025 12:10,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_3_update_5_template_20250217_121050.yaml,3,5,syntax_validation,3,moderate,'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead,WebsiteBucket
17/2/2025 12:11,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_4_update_1_template_20250217_121129.yaml,4,1,syntax_validation,0,simple,'Fn::Sub' isn't needed because there are no variables,EC2Instance
17/2/2025 12:12,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_4_update_2_template_20250217_121148.yaml,4,2,syntax_validation,1,simple,"'AWS::SSM::Parameter::Value<AWS::String>/aws/service/ami-amazon-linux-latest/amzn2-ami-hvm-x86_64-gp2' is not one of ['InstanceType', 'KeyName', 'InstanceSecurityGroup', 'EC2Instance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",EC2Instance
17/2/2025 12:12,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_4_update_3_template_20250217_121201.yaml,4,3,yaml_validation,0,simple,"YAML syntax error at line 3, column 25: mapping values are not allowed here",
17/2/2025 12:14,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_4_update_4_template_20250217_121207.yaml,4,4,deployment,0,simple,"Resource handler returned message: ""No subnets found for the default VPC 'vpc-0bc6993a305052342'. Please specify a subnet. (Service: Ec2, Status Code: 400, Request ID: 3acdbc4c-c968-4a26-978b-6ae836094e15)"" (RequestToken: c4bf70ec-37b2-0a45-4a78-7637c1912cce, HandlerErrorCode: InvalidRequest)",EC2Instance
17/2/2025 12:14,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_4_update_5_template_20250217_121439.yaml,4,5,deployment,1,simple,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, SubnetId] must have values",
17/2/2025 12:14,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_4_update_6_template_20250217_121447.yaml,4,6,deployment,2,moderate,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId] must have values",
17/2/2025 12:16,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_6_update_1_template_20250217_121638.yaml,6,1,syntax_validation,0,simple,'VpcId' is a dependency of 'SecurityGroupEgress',EC2SecurityGroup
17/2/2025 12:16,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_6_update_1_template_20250217_121638.yaml,6,1,syntax_validation,0,simple,"['FromPort', 'ToPort'] are ignored when using 'IpProtocol' value -1",EC2SecurityGroup
17/2/2025 12:17,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_6_update_2_template_20250217_121653.yaml,6,2,syntax_validation,1,simple,'InstanceSecurityGroup' dependency already enforced by a 'Ref' at 'Resources/EC2Instance/Properties/SecurityGroups/0',EC2Instance
17/2/2025 12:17,claude,claude-3-5-sonnet-20241022,llm_generated_data/template/iterative/claude/row_6_update_3_template_20250217_121703.yaml,6,3,syntax_validation,2,moderate,'MySecurityGroup' dependency already enforced by a 'Ref' at 'Resources/MyEC2Instance/Properties/SecurityGroups/0',MyEC2Instance
