Error Message,Count,Percentage,claude-3-5,claude-3-7,deepseek-r1,deepseek-s3,gpt-4o,o3-mini,deployment,syntax_validation,yaml_validation
Resource creation cancelled,763,8.33,81,172,85,137,177,111,763,0,0
'Fn::Sub' isn't needed because there are no variables,283,3.09,47,34,28,78,46,50,0,283,0
Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,170,1.86,72,38,22,15,6,17,0,170,0
'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead,164,1.79,2,18,26,65,28,25,0,164,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName] must have values,142,1.55,3,15,9,10,80,25,142,0,0
Use dynamic references over parameters for secrets,102,1.11,12,23,18,18,15,16,0,102,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, SubnetId] must have values",94,1.03,23,19,10,17,6,19,94,0,0
Runtime 'python3.8' was deprecated on '2024-10-14'. Creation was disabled on '2025-02-28' and update on '2025-03-31'. Please consider updating to 'python3.12',93,1.02,0,0,0,3,48,42,0,93,0
Additional properties are not allowed ('FilterCriteria' was unexpected),64,0.7,4,10,16,7,14,13,0,64,0
Additional properties are not allowed ('Default' was unexpected),56,0.61,0,2,5,17,32,0,0,56,0
Default should be allowed by AllowedPattern,52,0.57,0,3,17,24,8,0,0,52,0
Resource type 'AWS::SSM::Parameter::Value<AWS::EC2::Image::Id>' does not exist in 'us-east-1',52,0.57,0,2,5,18,27,0,0,52,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId] must have values",49,0.53,4,2,13,0,25,5,49,0,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyPairName] must have values,49,0.53,15,0,3,31,0,0,49,0,0
Avoid hardcoding availability zones 'us-east-1a',45,0.49,5,11,12,3,4,10,0,45,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [EmailAddress] must have values,44,0.48,6,12,13,6,4,3,44,0,0
A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured,43,0.47,1,7,4,15,10,6,0,43,0
Resource type 'AWS::CloudWatchLogs::QueryDefinition' does not exist in 'us-east-1',42,0.46,0,42,0,0,0,0,0,42,0
Parameter VpcId not used.,40,0.44,4,3,1,12,17,3,0,40,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BucketName] must have values,39,0.43,4,4,10,13,1,7,39,0,0
Resource type 'AWS::SecurityHub::StandardsSubscription' does not exist in 'us-east-1',38,0.41,3,8,12,9,0,6,0,38,0
Template error: Fn::Select  cannot select nonexistent value at index 1,37,0.4,7,15,0,0,15,0,37,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, SubnetIds] must have values",35,0.38,0,3,15,15,2,0,35,0,0
"['FromPort', 'ToPort'] are ignored when using 'IpProtocol' value -1",33,0.36,25,1,0,0,0,7,0,33,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId] must have values,31,0.34,3,5,11,8,3,1,31,0,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [StripeApiKey] must have values,31,0.34,5,4,7,5,7,3,31,0,0
{'Ref': 'BucketName'} does not match '^[a-z0-9][a-z0-9.-]*[a-z0-9]$' when 'Ref' is resolved,28,0.31,1,0,9,18,0,0,0,28,0
Additional properties are not allowed ('Tags' was unexpected),28,0.31,2,0,14,8,0,4,0,28,0
'Arn' is not one of ['JobQueueArn'] in ['us-east-1'],28,0.31,5,10,0,1,9,3,0,28,0
Runtime 'nodejs14.x' was deprecated on '2023-12-04'. Creation was disabled on '2024-07-09' and update on '2025-02-28'. Please consider updating to 'nodejs20.x',26,0.28,4,7,0,0,6,9,0,26,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [SecurityGroupId, SubnetId] must have values",25,0.27,4,4,3,5,9,0,25,0,0
"'Domain' is not one of ['Id', 'CloudFrontDistribution'] in ['us-east-1']",25,0.27,0,0,4,13,4,4,0,25,0
Avoid hardcoding availability zones 'us-east-1b',23,0.25,2,6,6,0,2,7,0,23,0
"'8.0' is not one of ['5.7.44', '5.7.44-rds.20240408', '5.7.44-rds.20240529', '5.7.44-rds.20240808', '8.0.32', '8.0.33', '8.0.34', '8.0.35', '8.0.36', '8.0.37', '8.0.39', '8.0.40', '8.4.3']",23,0.25,0,3,0,8,3,9,0,23,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [NotificationEmail] must have values,22,0.24,7,0,3,3,3,6,22,0,0
"False is not one of ['OFF', 'FLEXIBLE']",20,0.22,3,2,6,6,0,3,0,20,0
Failed to receive 1 resource signal(s) within the specified duration,20,0.22,0,5,1,14,0,0,20,0,0
Resource type 'AWS::S3::BucketNotification' does not exist in 'us-east-1',19,0.21,3,11,0,3,2,0,0,19,0
'ApiDestinationArn' is not one of ['Arn'] in ['us-east-1'],19,0.21,0,0,0,0,0,19,0,19,0
"Found an embedded parameter ""${AWS::AccountId}"" outside of an ""Fn::Sub"" at Parameters/BucketName/Default",19,0.21,0,0,1,18,0,0,0,19,0
'Name' is a required property,18,0.2,1,0,0,1,0,16,0,18,0
'EventBridgeEnabled' is a required property,18,0.2,0,0,2,3,6,7,0,18,0
