timestamp,llm_type,llm_model,template_path,row_number,iteration_number,error_stage,stage_attempt_count,next_feedback_level,error_message,resource_name
22/4/2025 13:00,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_3_update_1_template_20250422_130010.yaml,3,1,syntax_validation,0,simple,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
22/4/2025 13:00,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_3_update_2_template_20250422_130021.yaml,3,2,syntax_validation,1,simple,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
22/4/2025 13:00,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_3_update_3_template_20250422_130029.yaml,3,3,syntax_validation,2,moderate,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
22/4/2025 13:00,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_3_update_3_template_20250422_130029.yaml,3,3,syntax_validation,2,moderate,"'WebsiteDomainName' is not one of ['Arn', 'DomainName', 'DualStackDomainName', 'RegionalDomainName', 'WebsiteURL'] in ['us-east-1']",WebsiteURL
22/4/2025 13:47,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_1_template_20250422_134718.yaml,4,1,deployment,0,simple,An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName] must have values,
22/4/2025 13:47,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_2_template_20250422_134735.yaml,4,2,deployment,1,simple,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId] must have values",
22/4/2025 13:47,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_3_template_20250422_134746.yaml,4,3,deployment,2,moderate,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId] must have values",
22/4/2025 13:48,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_4_template_20250422_134758.yaml,4,4,deployment,3,moderate,"Parameter validation failed: parameter value my-key-pair for parameter name KeyName does not exist, parameter value vpc-12345678 for parameter name VpcId does not exist, parameter value subnet-12345678 for parameter name SubnetId does not exist. Delete requested by user.",validation-stack-067ac5be
22/4/2025 13:48,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_5_template_20250422_134814.yaml,4,5,deployment,4,moderate,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId] must have values",
22/4/2025 13:48,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_6_template_20250422_134825.yaml,4,6,deployment,5,moderate,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId] must have values",
22/4/2025 13:48,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_7_template_20250422_134837.yaml,4,7,deployment,6,advanced,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId] must have values",
22/4/2025 13:51,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_8_template_20250422_135121.yaml,4,8,syntax_validation,0,simple,Resource type 'AWS::SSM::Parameter::Value<AWS::EC2::Image::Id>' does not exist in 'us-east-1',LatestAmiId
22/4/2025 13:51,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_8_template_20250422_135121.yaml,4,8,syntax_validation,0,simple,Additional properties are not allowed ('Default' was unexpected),LatestAmiId
22/4/2025 13:51,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_9_template_20250422_135128.yaml,4,9,syntax_validation,1,simple,Resource type 'AWS::SSM::Parameter::Value<AWS::EC2::Image::Id>' does not exist in 'us-east-1',LatestAmiId
22/4/2025 13:51,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_9_template_20250422_135128.yaml,4,9,syntax_validation,1,simple,Additional properties are not allowed ('Default' was unexpected),LatestAmiId
22/4/2025 13:51,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_10_template_20250422_135138.yaml,4,10,syntax_validation,2,moderate,Resource type 'AWS::SSM::Parameter::Value<AWS::EC2::Image::Id>' does not exist in 'us-east-1',LatestAmiId
22/4/2025 13:51,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_10_template_20250422_135138.yaml,4,10,syntax_validation,2,moderate,Additional properties are not allowed ('Default' was unexpected),LatestAmiId
22/4/2025 13:51,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_11_template_20250422_135147.yaml,4,11,syntax_validation,3,moderate,Resource type 'AWS::SSM::Parameter::Value<String>' does not exist in 'us-east-1',LatestAmiId
22/4/2025 13:51,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_11_template_20250422_135147.yaml,4,11,syntax_validation,3,moderate,Additional properties are not allowed ('Default' was unexpected),LatestAmiId
22/4/2025 13:52,gpt,gpt-4o,llm_generated_data/template/iterative/gpt/gpt-4o/row_4_update_12_template_20250422_135155.yaml,4,12,syntax_validation,4,moderate,"'SubnetId' is not one of ['InstanceType', 'KeyName', 'EC2Instance', 'InstanceSecurityGroup', 'LatestAmiId', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",EC2Instance
