timestamp,llm_type,llm_model,template_path,row_number,iteration_number,error_stage,stage_attempt_count,next_feedback_level,error_message,resource_name
28/4/2025 17:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_1_template_20250428_170021.yaml,3.0,1.0,syntax_validation,0.0,simple,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
28/4/2025 17:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_1_template_20250428_170021.yaml,3.0,1.0,syntax_validation,0.0,simple,A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured,WebsiteBucket
28/4/2025 17:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_1_template_20250428_170021.yaml,3.0,1.0,syntax_validation,0.0,simple,'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead,WebsiteBucket
28/4/2025 17:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_2_template_20250428_170034.yaml,3.0,2.0,syntax_validation,1.0,simple,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
28/4/2025 17:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_2_template_20250428_170034.yaml,3.0,2.0,syntax_validation,1.0,simple,A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured,WebsiteBucket
28/4/2025 17:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_2_template_20250428_170034.yaml,3.0,2.0,syntax_validation,1.0,simple,'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead,WebsiteBucket
28/4/2025 17:01,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_3_template_20250428_170048.yaml,3.0,3.0,syntax_validation,2.0,moderate,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
28/4/2025 17:01,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_3_template_20250428_170048.yaml,3.0,3.0,syntax_validation,2.0,moderate,A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured,WebsiteBucket
28/4/2025 17:01,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_3_template_20250428_170048.yaml,3.0,3.0,syntax_validation,2.0,moderate,'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead,WebsiteBucket
28/4/2025 17:01,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_4_template_20250428_170101.yaml,3.0,4.0,deployment,0.0,simple,An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BucketName] must have values,
28/4/2025 17:01,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_5_template_20250428_170113.yaml,3.0,5.0,deployment,1.0,simple,An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BucketName] must have values,
28/4/2025 17:01,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_3_update_6_template_20250428_170130.yaml,3.0,6.0,deployment,2.0,moderate,An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BucketName] must have values,
30/4/2025 9:56,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_1_template_20250430_095620.yaml,4.0,1.0,deployment,0.0,simple,Parameter validation failed: parameter value  for parameter name KeyName does not exist. Delete requested by user.,validation-stack-a03ebccf
30/4/2025 9:57,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_2_template_20250430_095647.yaml,4.0,2.0,syntax_validation,0.0,simple,'Fn::Sub' isn't needed because there are no variables,EC2Instance
30/4/2025 9:57,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_3_template_20250430_095703.yaml,4.0,3.0,syntax_validation,1.0,simple,'Fn::Sub' isn't needed because there are no variables,EC2Instance
30/4/2025 9:57,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_4_template_20250430_095719.yaml,4.0,4.0,yaml_validation,0.0,simple,"Line 24: too many spaces inside brackets
Line 24: too many spaces inside brackets
Line 24: too many spaces inside brackets",
30/4/2025 9:57,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_5_template_20250430_095741.yaml,4.0,5.0,yaml_validation,1.0,simple,"Line 25: too many spaces inside brackets
Line 25: too many spaces inside brackets",
30/4/2025 9:58,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_6_template_20250430_095751.yaml,4.0,6.0,yaml_validation,2.0,moderate,"Line 24: too many spaces inside brackets
Line 24: too many spaces inside brackets
Line 24: too many spaces inside brackets
Line 24: too many spaces inside brackets
Line 44: too many spaces inside brackets
Line 44: too many spaces inside brackets",
30/4/2025 9:58,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_7_template_20250430_095802.yaml,4.0,7.0,yaml_validation,3.0,moderate,"Line 24: syntax error: expected '!', but found '[' (syntax)",
30/4/2025 9:58,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_8_template_20250430_095812.yaml,4.0,8.0,yaml_validation,4.0,moderate,"Line 26: wrong indentation: expected 4 but found 6
Line 27: wrong indentation: expected 8 but found 10
Line 50: wrong indentation: expected 8 but found 10",
30/4/2025 9:58,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_9_template_20250430_095821.yaml,4.0,9.0,yaml_validation,5.0,moderate,"Line 26: wrong indentation: expected 4 but found 6
Line 27: wrong indentation: expected 8 but found 10",
30/4/2025 9:58,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_10_template_20250430_095829.yaml,4.0,10.0,syntax_validation,2.0,moderate,'Fn::Sub' isn't needed because there are no variables,EC2Instance
30/4/2025 9:58,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_11_template_20250430_095841.yaml,4.0,11.0,deployment,1.0,simple,Parameter validation failed: parameter value  for parameter name KeyName does not exist. Delete requested by user.,validation-stack-15649fb2
30/4/2025 9:59,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_4_update_12_template_20250430_095856.yaml,4.0,12.0,deployment,2.0,moderate,Parameter validation failed: parameter value  for parameter name KeyName does not exist. Delete requested by user.,validation-stack-2ae00ef8
30/4/2025 10:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_6_update_1_template_20250430_100005.yaml,6.0,1.0,deployment,0.0,simple,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId, AmiId] must have values",
30/4/2025 10:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_6_update_2_template_20250430_100024.yaml,6.0,2.0,syntax_validation,0.0,simple,'InstanceSecurityGroup' dependency already enforced by a 'Ref' at 'Resources/MyEC2Instance/Properties/SecurityGroupIds/0',MyEC2Instance
30/4/2025 10:00,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_6_update_3_template_20250430_100035.yaml,6.0,3.0,deployment,1.0,simple,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId, AmiId] must have values",
30/4/2025 10:01,gpt,o3-mini,llm_generated_data/template/iterative/gpt/o3-mini/row_6_update_4_template_20250430_100050.yaml,6.0,4.0,syntax_validation,1.0,simple,"['FromPort', 'ToPort'] are ignored when using 'IpProtocol' value -1",InstanceSecurityGroup
