row_number,ground_truth_path,run_id,status,final_validation_passed,iterations_used,llm_calls_total,token_all_tokens,token_input_tokens,token_output_tokens,token_prompt_tokens,token_completion_tokens,duration_seconds,error_message
0,Data\groud_truth\template\sqs_easy.yaml,b5a58fec,ok,True,1.0,2.0,2495.0,0.0,0.0,2184.0,311.0,59.458,
1,Data\groud_truth\template\sns_easy.yaml,e432518e,ok,True,1.0,2.0,2519.0,0.0,0.0,2166.0,353.0,73.374,
2,Data\groud_truth\template\s3_easy.yaml,fb1f5ca6,ok,True,1.0,2.0,2524.0,0.0,0.0,2107.0,417.0,54.406,
3,Data\groud_truth\template\s3_webhost_and_deletion_policy.yaml,0b5d9eed,ok,True,2.0,4.0,5089.0,0.0,0.0,4062.0,1027.0,168.748,
4,Data\groud_truth\template\ec2_easy.yaml,33c17957,ok,False,5.0,10.0,104232.0,0.0,0.0,92531.0,11701.0,1709.608,
5,Data\groud_truth\template\DynamoDB_easy.yaml,1aa931c4,ok,False,5.0,10.0,217770.0,0.0,0.0,175746.0,42024.0,5394.08,
6,Data\groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,8eccdd5d,ok,True,4.0,8.0,23976.0,0.0,0.0,19176.0,4800.0,583.777,
7,Data\groud_truth\template\virtualmachine.yaml,41599ecb,ok,False,5.0,10.0,35863.0,0.0,0.0,30120.0,5743.0,526.579,
8,Data\groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,1ac5665f,ok,True,2.0,4.0,7531.0,0.0,0.0,5466.0,2065.0,281.486,
9,Data\groud_truth\template\EFS_encrypted_one_zone.yaml,b51f537b,ok,False,5.0,10.0,22973.0,0.0,0.0,19611.0,3362.0,477.15,
10,Data\groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,e9d8ef89,ok,False,5.0,10.0,32818.0,0.0,0.0,28333.0,4485.0,671.067,
11,Data\groud_truth\template\dynamo.yaml,5ff50052,ok,True,1.0,2.0,2963.0,0.0,0.0,2321.0,642.0,96.639,
12,Data\groud_truth\template\EIP_With_Association.yaml,fd54ada7,ok,False,5.0,10.0,29921.0,0.0,0.0,25833.0,4088.0,509.139,
13,Data\groud_truth\template\InstanceWithCfnInit.yaml,818808dc,ok,False,5.0,10.0,32131.0,0.0,0.0,27296.0,4835.0,654.515,
