row_number,template,prompt,checkov_passed,checkov_error,total_checks,passed_checks,failed_checks,policy_pass_rate,fully_compliant,severity_critical,severity_high,severity_medium,severity_low,severity_unknown,violation_ids,violation_titles,violations_json,swvs
0,Data\groud_truth\template\sqs_easy.yaml,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.,False,,1,0,1,0.0,False,0,0,0,0,1,"[""CKV_AWS_27""]","[""Ensure all data stored in the SQS queue is encrypted""]","[{""check_id"": ""CKV_AWS_27"", ""check_title"": ""Ensure all data stored in the SQS queue is encrypted"", ""resource"": ""AWS::SQS::Queue.MyQueue"", ""resource_type"": ""AWS::SQS::Queue"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/sqs_easy.yaml"", ""lines"": [5, 8], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/general-16-encrypt-sqs-queue""}]",0.5
1,Data\groud_truth\template\sns_easy.yaml,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com"".",False,,1,0,1,0.0,False,0,0,0,0,1,"[""CKV_AWS_26""]","[""Ensure all data stored in the SNS topic is encrypted""]","[{""check_id"": ""CKV_AWS_26"", ""check_title"": ""Ensure all data stored in the SNS topic is encrypted"", ""resource"": ""AWS::SNS::Topic.MySNSTopic"", ""resource_type"": ""AWS::SNS::Topic"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/sns_easy.yaml"", ""lines"": [5, 10], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/general-15""}]",0.5
2,Data\groud_truth\template\s3_easy.yaml,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,False,,9,3,6,0.3333,False,0,0,0,0,6,"[""CKV_AWS_18"", ""CKV_AWS_53"", ""CKV_AWS_54"", ""CKV_AWS_21"", ""CKV_AWS_55"", ""CKV_AWS_56""]","[""Ensure the S3 bucket has access logging enabled"", ""Ensure S3 bucket has block public ACLs enabled"", ""Ensure S3 bucket has block public policy enabled"", ""Ensure the S3 bucket has versioning enabled"", ""Ensure S3 bucket has ignore public ACLs enabled"", ""Ensure S3 bucket has RestrictPublicBuckets enabled""]","[{""check_id"": ""CKV_AWS_18"", ""check_title"": ""Ensure the S3 bucket has access logging enabled"", ""resource"": ""AWS::S3::Bucket.MyS3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_easy.yaml"", ""lines"": [5, 6], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/s3-13-enable-logging""}, {""check_id"": ""CKV_AWS_53"", ""check_title"": ""Ensure S3 bucket has block public ACLs enabled"", ""resource"": ""AWS::S3::Bucket.MyS3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_easy.yaml"", ""lines"": [5, 6], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-19""}, {""check_id"": ""CKV_AWS_54"", ""check_title"": ""Ensure S3 bucket has block public policy enabled"", ""resource"": ""AWS::S3::Bucket.MyS3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_easy.yaml"", ""lines"": [5, 6], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-20""}, {""check_id"": ""CKV_AWS_21"", ""check_title"": ""Ensure the S3 bucket has versioning enabled"", ""resource"": ""AWS::S3::Bucket.MyS3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_easy.yaml"", ""lines"": [5, 6], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/s3-16-enable-versioning""}, {""check_id"": ""CKV_AWS_55"", ""check_title"": ""Ensure S3 bucket has ignore public ACLs enabled"", ""resource"": ""AWS::S3::Bucket.MyS3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_easy.yaml"", ""lines"": [5, 6], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-21""}, {""check_id"": ""CKV_AWS_56"", ""check_title"": ""Ensure S3 bucket has RestrictPublicBuckets enabled"", ""resource"": ""AWS::S3::Bucket.MyS3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_easy.yaml"", ""lines"": [5, 6], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-22""}]",3.0
3,Data\groud_truth\template\s3_webhost_and_deletion_policy.yaml,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy,False,,9,3,6,0.3333,False,0,0,0,0,6,"[""CKV_AWS_18"", ""CKV_AWS_53"", ""CKV_AWS_54"", ""CKV_AWS_21"", ""CKV_AWS_55"", ""CKV_AWS_56""]","[""Ensure the S3 bucket has access logging enabled"", ""Ensure S3 bucket has block public ACLs enabled"", ""Ensure S3 bucket has block public policy enabled"", ""Ensure the S3 bucket has versioning enabled"", ""Ensure S3 bucket has ignore public ACLs enabled"", ""Ensure S3 bucket has RestrictPublicBuckets enabled""]","[{""check_id"": ""CKV_AWS_18"", ""check_title"": ""Ensure the S3 bucket has access logging enabled"", ""resource"": ""AWS::S3::Bucket.S3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml"", ""lines"": [5, 17], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/s3-13-enable-logging""}, {""check_id"": ""CKV_AWS_53"", ""check_title"": ""Ensure S3 bucket has block public ACLs enabled"", ""resource"": ""AWS::S3::Bucket.S3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml"", ""lines"": [5, 17], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-19""}, {""check_id"": ""CKV_AWS_54"", ""check_title"": ""Ensure S3 bucket has block public policy enabled"", ""resource"": ""AWS::S3::Bucket.S3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml"", ""lines"": [5, 17], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-20""}, {""check_id"": ""CKV_AWS_21"", ""check_title"": ""Ensure the S3 bucket has versioning enabled"", ""resource"": ""AWS::S3::Bucket.S3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml"", ""lines"": [5, 17], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/s3-16-enable-versioning""}, {""check_id"": ""CKV_AWS_55"", ""check_title"": ""Ensure S3 bucket has ignore public ACLs enabled"", ""resource"": ""AWS::S3::Bucket.S3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml"", ""lines"": [5, 17], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-21""}, {""check_id"": ""CKV_AWS_56"", ""check_title"": ""Ensure S3 bucket has RestrictPublicBuckets enabled"", ""resource"": ""AWS::S3::Bucket.S3Bucket"", ""resource_type"": ""AWS::S3::Bucket"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml"", ""lines"": [5, 17], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/s3-policies/bc-aws-s3-22""}]",3.0
4,Data\groud_truth\template\ec2_easy.yaml,We need a CloudFormation template that creates an EC2 instance with the latest Amazon Linux 2 AMI,True,,2,2,0,1.0,True,0,0,0,0,0,[],[],[],0.0
5,Data\groud_truth\template\DynamoDB_easy.yaml,"We need a CloudFormation template that creates a DynamoDB table about ArtistId, Concert, and TicketSales.",False,,2,0,2,0.0,False,0,0,0,0,2,"[""CKV_AWS_28"", ""CKV_AWS_119""]","[""Ensure DynamoDB point in time recovery (backup) is enabled"", ""Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK""]","[{""check_id"": ""CKV_AWS_28"", ""check_title"": ""Ensure DynamoDB point in time recovery (backup) is enabled"", ""resource"": ""AWS::DynamoDB::Table.DDBTable"", ""resource_type"": ""AWS::DynamoDB::Table"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/DynamoDB_easy.yaml"", ""lines"": [5, 39], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/general-6""}, {""check_id"": ""CKV_AWS_119"", ""check_title"": ""Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK"", ""resource"": ""AWS::DynamoDB::Table.DDBTable"", ""resource_type"": ""AWS::DynamoDB::Table"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/DynamoDB_easy.yaml"", ""lines"": [5, 39], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-general-policies/bc-aws-52""}]",1.0
6,Data\groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,We need a CloudFormation template that creates an EC2 instance with Security Group that is able to deploy on AWS successfully.,False,,6,4,2,0.6667,False,0,0,0,0,2,"[""CKV_AWS_260"", ""CKV_AWS_23""]","[""Ensure no security groups allow ingress from 0.0.0.0:0 to port 80"", ""Ensure every security groups rule has a description""]","[{""check_id"": ""CKV_AWS_260"", ""check_title"": ""Ensure no security groups allow ingress from 0.0.0.0:0 to port 80"", ""resource"": ""AWS::EC2::SecurityGroup.WebServerSecurityGroup"", ""resource_type"": ""AWS::EC2::SecurityGroup"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/EC2InstanceWithSecurityGroupSample.yaml"", ""lines"": [30, 38], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/ensure-aws-security-groups-do-not-allow-ingress-from-00000-to-port-80""}, {""check_id"": ""CKV_AWS_23"", ""check_title"": ""Ensure every security groups rule has a description"", ""resource"": ""AWS::EC2::SecurityGroup.WebServerSecurityGroup"", ""resource_type"": ""AWS::EC2::SecurityGroup"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/EC2InstanceWithSecurityGroupSample.yaml"", ""lines"": [30, 38], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-networking-policies/networking-31""}]",1.0
7,Data\groud_truth\template\virtualmachine.yaml,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. ,True,,13,13,0,1.0,True,0,0,0,0,0,[],[],[],0.0
8,Data\groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,"We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway. The solution should iclude widgets for top source IPs by outbound traffic and rejected connections, using CloudWatch Logs Insights queries to filter and aggregate NAT Gateway-specific data (`interfaceId like 'eni-'`).  ",False,,0,0,0,,False,0,0,0,0,0,[],[],[],0.0
9,Data\groud_truth\template\EFS_encrypted_one_zone.yaml,We need a CloudFormation template that creates an encrypted One Zone file system in the us-east-1a Availability Zone.,False,,3,2,1,0.6667,False,0,0,0,0,1,"[""CKV_AWS_7""]","[""Ensure rotation for customer created CMKs is enabled""]","[{""check_id"": ""CKV_AWS_7"", ""check_title"": ""Ensure rotation for customer created CMKs is enabled"", ""resource"": ""AWS::KMS::Key.key"", ""resource_type"": ""AWS::KMS::Key"", ""severity"": ""UNKNOWN"", ""file"": ""/Data/groud_truth/template/EFS_encrypted_one_zone.yaml"", ""lines"": [51, 69], ""description"": null, ""guideline"": ""https://docs.prismacloud.io/en/enterprise-edition/policy-reference/aws-policies/aws-logging-policies/logging-8""}]",0.5
