row_number,template_path,ground_truth_path,pass_user_intent,checkov_details,coverage_percentage,accuracy_percentage,resource_details,missing_resources,row_error
0,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_0_update_1_template_20260310_185621.yaml,../Data/groud_truth/template/sqs_easy.yaml,False,"{'passed_checks': [], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_0', 'check_name': 'Tuser intent for row 0', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::SQS::Queue.SQSQueue', 'guideline': None}]}",100.0,100.0,"{'correct': ['AWS::SQS::Queue'], 'missing': [], 'extra': []}",[],
1,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_1_update_1_template_20260310_185648.yaml,../Data/groud_truth/template/sns_easy.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_1', 'check_name': 'user intent for row 1', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::SNS::Subscription.MySNSTopicSubscription'}], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_1', 'check_name': 'user intent for row 1', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::SNS::Topic.MySNSTopic', 'guideline': None}]}",100.0,50.0,"{'correct': ['AWS::SNS::Topic'], 'missing': [], 'extra': ['AWS::SNS::Subscription']}",[],
2,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_2_update_2_template_20260310_185704.yaml,../Data/groud_truth/template/s3_easy.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_2', 'check_name': 'Tuser intent for row 2', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::S3::Bucket.DefaultBucket'}], 'failed_checks': []}",100.0,100.0,"{'correct': ['AWS::S3::Bucket'], 'missing': [], 'extra': []}",[],
5,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_5_update_1_template_20260310_185956.yaml,../Data/groud_truth/template/DynamoDB_easy.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_5', 'check_name': 'user intent for row 5', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::DynamoDB::Table.ArtistConcertTable'}], 'failed_checks': []}",100.0,50.0,"{'correct': ['AWS::DynamoDB::Table'], 'missing': [], 'extra': ['AWS::IAM::ManagedPolicy']}",[],
7,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_7_update_5_template_20260310_190419.yaml,../Data/groud_truth/template/virtualmachine.yaml,False,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_7A', 'check_name': 'user intent for row 7', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::Instance.EC2Instance'}], 'failed_checks': []}",33.33333333333333,100.0,"{'correct': ['AWS::EC2::SecurityGroup', 'AWS::EC2::Instance'], 'missing': ['AWS::EC2::Subnet', 'AWS::IAM::Role', 'AWS::IAM::InstanceProfile', 'AWS::EC2::VPC'], 'extra': []}","['AWS::EC2::Subnet', 'AWS::IAM::Role', 'AWS::IAM::InstanceProfile', 'AWS::EC2::VPC']",
9,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_9_update_5_template_20260310_190725.yaml,../Data/groud_truth/template/EFS_encrypted_one_zone.yaml,False,"{'passed_checks': [], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_9', 'check_name': 'user intent for row 9', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EFS::FileSystem.EncryptedOneZoneFileSystem', 'guideline': None}]}",33.33333333333333,100.0,"{'correct': ['AWS::EFS::MountTarget', 'AWS::EFS::FileSystem'], 'missing': ['AWS::KMS::Key', 'AWS::EC2::Subnet', 'AWS::EC2::VPC', 'AWS::EFS::AccessPoint'], 'extra': []}","['AWS::KMS::Key', 'AWS::EC2::Subnet', 'AWS::EC2::VPC', 'AWS::EFS::AccessPoint']",
11,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_11_update_5_template_20260310_191159.yaml,../Data/groud_truth/template/dynamo.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_11', 'check_name': 'user intent for row 11', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::DynamoDB::Table.NotificationReportingTable'}], 'failed_checks': []}",100.0,100.0,"{'correct': ['AWS::DynamoDB::Table'], 'missing': [], 'extra': []}",[],
14,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_14_update_2_template_20260310_191832.yaml,../Data/groud_truth/template/SingleENIwithMultipleEIPs.yaml,False,"{'passed_checks': [], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_14B', 'check_name': 'user intent for row 14B', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::EIPAssociation.EIPAssociation1', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_14B', 'check_name': 'user intent for row 14B', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::EIPAssociation.EIPAssociation2', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_14A', 'check_name': 'user intent for row 14A', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::NetworkInterface.MyNetworkInterface', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_14A', 'check_name': 'user intent for row 14A', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::EIPAssociation.EIPAssociation1', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_14A', 'check_name': 'user intent for row 14A', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::EIPAssociation.EIPAssociation2', 'guideline': None}]}",55.55555555555556,100.0,"{'correct': ['AWS::EC2::NetworkInterface', 'AWS::EC2::EIPAssociation', 'AWS::EC2::EIPAssociation', 'AWS::EC2::EIP', 'AWS::EC2::EIP'], 'missing': ['AWS::EC2::Subnet', 'AWS::EC2::InternetGateway', 'AWS::EC2::VPCGatewayAttachment', 'AWS::EC2::VPC'], 'extra': []}","['AWS::EC2::Subnet', 'AWS::EC2::InternetGateway', 'AWS::EC2::VPCGatewayAttachment', 'AWS::EC2::VPC']",
18,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_18_update_5_template_20260310_192628.yaml,../Data/groud_truth/template/dynamodb_with_eventbridge.yaml,False,"{'passed_checks': [], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_18', 'check_name': 'user intent for row 18', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Pipes::Pipe.EventBridgePipe', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_18', 'check_name': 'user intent for row 18', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::IAM::Role.PipeRole', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_18', 'check_name': 'user intent for row 18', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::DynamoDB::Table.DynamoDBTable', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_18', 'check_name': 'user intent for row 18', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Events::EventBus.EventBridgeBus', 'guideline': None}]}",100.0,100.0,"{'correct': ['AWS::DynamoDB::Table', 'AWS::Events::EventBus', 'AWS::Pipes::Pipe', 'AWS::IAM::Role'], 'missing': [], 'extra': []}",[],
20,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_20_update_2_template_20260310_192921.yaml,../Data/groud_truth/template/CloudWatch_Dashboard_ClientVPN.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::CloudWatch::Dashboard.ClientVPNAnalysisDashboard'}], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.ConnectionDurationQuery', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.DataTransferQuery', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.UserActivityQuery', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.EndpointUsageQuery', 'guideline': None}]}",35.714285714285715,100.0,"{'correct': ['AWS::CloudWatch::Dashboard', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition'], 'missing': ['AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition'], 'extra': []}","['AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition']",
