row_number,template_path,ground_truth_path,pass_user_intent,checkov_details,coverage_percentage,accuracy_percentage,resource_details,missing_resources,row_error
0,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_0_update_1_template_20260309_135348.yaml,../Data/groud_truth/template/sqs_easy.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_0', 'check_name': 'Tuser intent for row 0', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::SQS::Queue.MySQSQueue'}], 'failed_checks': []}",100.0,100.0,"{'correct': ['AWS::SQS::Queue'], 'missing': [], 'extra': []}",[],
1,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_1_update_1_template_20260309_135517.yaml,../Data/groud_truth/template/sns_easy.yaml,False,"{'passed_checks': [], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_1', 'check_name': 'user intent for row 1', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::SNS::Topic.SNSTopic', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_1', 'check_name': 'user intent for row 1', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::SNS::Subscription.SNSEmailSubscription', 'guideline': None}]}",100.0,50.0,"{'correct': ['AWS::SNS::Topic'], 'missing': [], 'extra': ['AWS::SNS::Subscription']}",[],
2,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_2_update_2_template_20260309_135734.yaml,../Data/groud_truth/template/s3_easy.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_2', 'check_name': 'Tuser intent for row 2', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::S3::Bucket.S3Bucket'}], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_2', 'check_name': 'Tuser intent for row 2', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::S3::BucketPolicy.S3BucketPolicy', 'guideline': None}]}",100.0,50.0,"{'correct': ['AWS::S3::Bucket'], 'missing': [], 'extra': ['AWS::S3::BucketPolicy']}",[],
5,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_5_update_2_template_20260309_140714.yaml,../Data/groud_truth/template/DynamoDB_easy.yaml,False,"{'passed_checks': [], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_5', 'check_name': 'user intent for row 5', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::DynamoDB::Table.ArtistConcertSalesTable', 'guideline': None}]}",100.0,100.0,"{'correct': ['AWS::DynamoDB::Table'], 'missing': [], 'extra': []}",[],
7,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_7_update_5_template_20260309_142353.yaml,../Data/groud_truth/template/virtualmachine.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_7A', 'check_name': 'user intent for row 7', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::Instance.EC2Instance'}, {'check_id': 'UIV_CUSTOM_ROW_7B', 'check_name': 'user intent for row 7', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::IAM::Role.IAMRole'}], 'failed_checks': []}",100.0,54.54545454545454,"{'correct': ['AWS::IAM::Role', 'AWS::IAM::InstanceProfile', 'AWS::EC2::Instance', 'AWS::EC2::VPC', 'AWS::EC2::SecurityGroup', 'AWS::EC2::Subnet'], 'missing': [], 'extra': ['AWS::EC2::InternetGateway', 'AWS::EC2::VPCGatewayAttachment', 'AWS::EC2::Route', 'AWS::EC2::SubnetRouteTableAssociation', 'AWS::EC2::RouteTable']}",[],
9,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_9_update_2_template_20260309_142832.yaml,../Data/groud_truth/template/EFS_encrypted_one_zone.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_9', 'check_name': 'user intent for row 9', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EFS::FileSystem.EncryptedOneZoneFileSystem'}], 'failed_checks': []}",16.666666666666664,100.0,"{'correct': ['AWS::EFS::FileSystem'], 'missing': ['AWS::KMS::Key', 'AWS::EC2::Subnet', 'AWS::EFS::AccessPoint', 'AWS::EFS::MountTarget', 'AWS::EC2::VPC'], 'extra': []}","['AWS::KMS::Key', 'AWS::EC2::Subnet', 'AWS::EFS::AccessPoint', 'AWS::EFS::MountTarget', 'AWS::EC2::VPC']",
11,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_11_update_1_template_20260309_144437.yaml,../Data/groud_truth/template/dynamo.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_11', 'check_name': 'user intent for row 11', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::DynamoDB::Table.MobileNotificationsTable'}], 'failed_checks': []}",100.0,100.0,"{'correct': ['AWS::DynamoDB::Table'], 'missing': [], 'extra': []}",[],
14,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_14_update_2_template_20260309_150309.yaml,../Data/groud_truth/template/SingleENIwithMultipleEIPs.yaml,False,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_14B', 'check_name': 'user intent for row 14B', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::EIPAssociation.EIPAssociation1'}, {'check_id': 'UIV_CUSTOM_ROW_14B', 'check_name': 'user intent for row 14B', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::EIPAssociation.EIPAssociation2'}], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_14A', 'check_name': 'user intent for row 14A', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::NetworkInterface.ElasticNetworkInterface', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_14A', 'check_name': 'user intent for row 14A', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::EIPAssociation.EIPAssociation1', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_14A', 'check_name': 'user intent for row 14A', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::EC2::EIPAssociation.EIPAssociation2', 'guideline': None}]}",55.55555555555556,83.33333333333334,"{'correct': ['AWS::EC2::NetworkInterface', 'AWS::EC2::EIP', 'AWS::EC2::EIP', 'AWS::EC2::EIPAssociation', 'AWS::EC2::EIPAssociation'], 'missing': ['AWS::EC2::InternetGateway', 'AWS::EC2::VPCGatewayAttachment', 'AWS::EC2::VPC', 'AWS::EC2::Subnet'], 'extra': ['AWS::EC2::SecurityGroup']}","['AWS::EC2::InternetGateway', 'AWS::EC2::VPCGatewayAttachment', 'AWS::EC2::VPC', 'AWS::EC2::Subnet']",
18,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_18_update_5_template_20260309_152232.yaml,../Data/groud_truth/template/dynamodb_with_eventbridge.yaml,False,"{'passed_checks': [], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_18', 'check_name': 'user intent for row 18', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::IAM::Role.PipeRole', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_18', 'check_name': 'user intent for row 18', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::DynamoDB::Table.DynamoDBTable', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_18', 'check_name': 'user intent for row 18', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Events::EventBus.EventBridgePipe', 'guideline': None}]}",75.0,75.0,"{'correct': ['AWS::Events::EventBus', 'AWS::IAM::Role', 'AWS::DynamoDB::Table'], 'missing': ['AWS::Pipes::Pipe'], 'extra': ['AWS::Events::Rule']}",['AWS::Pipes::Pipe'],
20,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_20_update_3_template_20260309_153123.yaml,../Data/groud_truth/template/CloudWatch_Dashboard_ClientVPN.yaml,True,"{'passed_checks': [{'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::CloudWatch::Dashboard.ClientVPNAnalyticsDashboard'}], 'failed_checks': [{'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.ConnectionDurationQuery', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.DataTransferQuery', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.UserActivityQuery', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.EndpointUsageQuery', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.AuthenticationBreakdownQuery', 'guideline': None}, {'check_id': 'UIV_CUSTOM_ROW_20', 'check_name': 'user intent for row 20', 'file_path': '/../../../../../../var/folders/mr/k47n2bks0fs1y0cmq922vqbh0000gn/T/temp_checkov_template_stable/template.yaml', 'resource': 'AWS::Logs::QueryDefinition.ActiveUsersQuery', 'guideline': None}]}",50.0,100.0,"{'correct': ['AWS::CloudWatch::Dashboard', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition'], 'missing': ['AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition'], 'extra': []}","['AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition', 'AWS::Logs::QueryDefinition']",
